4.94 Mbits/sec   0.035 ms    0/ 4198 (0%)
4.91 Mbits/sec   0.027 ms    0/ 4177 (0%)
9.88 Mbits/sec   0.093 ms    0/ 8401 (0%)
4.09 Mbits/sec   0.193 ms    0/ 3481 (0%)
2.17 Mbits/sec   0.094 ms    0/ 1844 (0%)
8.17 Mbits/sec   0.043 ms    0/ 6945 (0%)
2.15 Mbits/sec   0.018 ms    0/ 1831 (0%)
7.07 Mbits/sec   0.029 ms    0/ 6010 (0%)
5.82 Mbits/sec   0.202 ms    1/ 4953 (0.02%)
4.20 Mbits/sec   0.099 ms    0/ 3569 (0%)
1.37 Mbits/sec   0.406 ms    0/ 1163 (0%)
8.81 Mbits/sec   0.188 ms    0/ 7496 (0%)
5.98 Mbits/sec   0.075 ms    0/ 5085 (0%)
6.76 Mbits/sec   0.020 ms    0/ 5748 (0%)
6.75 Mbits/sec   0.089 ms    0/ 5741 (0%)
4.13 Mbits/sec   0.125 ms    0/ 3515 (0%)
6.12 Mbits/sec   0.257 ms    0/ 5201 (0%)
4.57 Mbits/sec   0.112 ms    0/ 3885 (0%)
6.59 Mbits/sec   0.114 ms    0/ 5603 (0%)
4.43 Mbits/sec   0.027 ms    0/ 3771 (0%)
1.65 Mbits/sec   0.476 ms    0/ 1406 (0%)
2.11 Mbits/sec   0.280 ms    0/ 1796 (0%)
4.24 Mbits/sec   0.028 ms    0/ 3605 (0%)
5.73 Mbits/sec   0.099 ms    0/ 4875 (0%)
6.19 Mbits/sec   0.066 ms    0/ 5262 (0%)
2.78 Mbits/sec   0.359 ms    0/ 2364 (0%)
4.19 Mbits/sec   0.068 ms    0/ 3564 (0%)
5.07 Mbits/sec   0.024 ms    0/ 4309 (0%)
6.33 Mbits/sec   0.776 ms    0/ 5381 (0%)
2.28 Mbits/sec   0.281 ms    0/ 1944 (0%)
6.75 Mbits/sec   0.043 ms    0/ 5739 (0%)
3.69 Mbits/sec   0.147 ms    0/ 3143 (0%)
7.49 Mbits/sec   0.500 ms    0/ 6372 (0%)
2.48 Mbits/sec   0.043 ms    0/ 2110 (0%)
6.06 Mbits/sec   0.095 ms    0/ 5158 (0%)
2.94 Mbits/sec   0.180 ms    0/ 2498 (0%)
3.33 Mbits/sec   0.058 ms    0/ 2829 (0%)
4.05 Mbits/sec   0.132 ms    0/ 3446 (0%)
7.05 Mbits/sec   0.030 ms    0/ 6000 (0%)
4.81 Mbits/sec   0.088 ms    0/ 4090 (0%)
6.48 Mbits/sec   0.037 ms    1/ 5511 (0.018%)
6.15 Mbits/sec   0.520 ms    0/ 5228 (0%)
3.81 Mbits/sec   0.030 ms    0/ 3245 (0%)
5.86 Mbits/sec   0.078 ms    0/ 4984 (0%)
5.81 Mbits/sec   0.022 ms    0/ 4941 (0%)
7.01 Mbits/sec   0.089 ms    1/ 5962 (0.017%)
4.12 Mbits/sec   0.112 ms    0/ 3502 (0%)
1.95 Mbits/sec   0.254 ms    0/ 1657 (0%)
8.25 Mbits/sec   0.096 ms    0/ 7018 (0%)
5.36 Mbits/sec   0.044 ms    0/ 4556 (0%)
6.32 Mbits/sec   0.020 ms    0/ 5375 (0%)
5.30 Mbits/sec   0.028 ms    0/ 4509 (0%)
7.26 Mbits/sec   0.038 ms    0/ 6177 (0%)
10.1 Mbits/sec   0.066 ms    0/ 8614 (0%)
7.94 Mbits/sec   0.251 ms    0/ 6748 (0%)
6.18 Mbits/sec   0.020 ms    0/ 5258 (0%)
2.87 Mbits/sec   0.019 ms    0/ 2438 (0%)
2.96 Mbits/sec   0.028 ms    0/ 2516 (0%)
7.30 Mbits/sec   0.047 ms    0/ 6208 (0%)
4.35 Mbits/sec   0.043 ms    1/ 3703 (0.027%)
3.06 Mbits/sec   0.026 ms    0/ 2604 (0%)
1.73 Mbits/sec   0.016 ms    0/ 1469 (0%)
7.22 Mbits/sec   0.020 ms    0/ 6143 (0%)
3.88 Mbits/sec   0.038 ms    0/ 3300 (0%)
7.59 Mbits/sec   0.063 ms    1/ 6455 (0.015%)
7.77 Mbits/sec   0.125 ms    0/ 6611 (0%)
9.85 Mbits/sec   0.024 ms    0/ 8375 (0%)
3.70 Mbits/sec   0.034 ms    0/ 3144 (0%)
5.36 Mbits/sec   0.125 ms    1/ 4554 (0.022%)
1.43 Mbits/sec   0.053 ms    0/ 1214 (0%)
2.08 Mbits/sec   0.084 ms    0/ 1767 (0%)
3.87 Mbits/sec   0.063 ms    0/ 3291 (0%)
4.08 Mbits/sec   0.025 ms    0/ 3472 (0%)
6.63 Mbits/sec   0.046 ms    0/ 5641 (0%)
3.52 Mbits/sec   0.020 ms    0/ 2990 (0%)
7.00 Mbits/sec   0.123 ms    0/ 5950 (0%)
3.43 Mbits/sec   0.023 ms    0/ 2918 (0%)
4.60 Mbits/sec   0.132 ms    0/ 3914 (0%)
5.48 Mbits/sec   0.027 ms    0/ 4660 (0%)
3.98 Mbits/sec   0.045 ms    0/ 3381 (0%)
4.69 Mbits/sec   0.014 ms    0/ 3985 (0%)
8.50 Mbits/sec   0.017 ms    0/ 7231 (0%)
4.33 Mbits/sec   0.049 ms    0/ 3681 (0%)
4.93 Mbits/sec   0.046 ms    0/ 4193 (0%)
7.62 Mbits/sec   0.024 ms    0/ 6477 (0%)
7.29 Mbits/sec   0.135 ms    0/ 6200 (0%)
6.81 Mbits/sec   0.031 ms    0/ 5795 (0%)
3.72 Mbits/sec   0.029 ms    0/ 3165 (0%)
8.01 Mbits/sec   0.033 ms    0/ 6812 (0%)
4.50 Mbits/sec   0.058 ms    0/ 3826 (0%)
4.44 Mbits/sec   0.041 ms    0/ 3777 (0%)
3.93 Mbits/sec   0.379 ms    0/ 3344 (0%)
5.45 Mbits/sec   0.032 ms    0/ 4632 (0%)
6.17 Mbits/sec   0.034 ms    0/ 5250 (0%)
2.73 Mbits/sec   0.024 ms    0/ 2319 (0%)
5.14 Mbits/sec   0.066 ms    0/ 4373 (0%)
6.64 Mbits/sec   0.156 ms    0/ 5654 (0%)
6.12 Mbits/sec   0.026 ms    0/ 5203 (0%)
4.10 Mbits/sec   0.058 ms    0/ 3491 (0%)
5.50 Mbits/sec   0.027 ms    0/ 4673 (0%)
5.02 Mbits/sec   0.041 ms    0/ 4273 (0%)
5.19 Mbits/sec   0.022 ms    2/ 4414 (0.045%)
2.80 Mbits/sec   0.032 ms    0/ 2378 (0%)
5.58 Mbits/sec   0.163 ms    0/ 4744 (0%)
5.03 Mbits/sec   0.071 ms    0/ 4274 (0%)
3.86 Mbits/sec   0.083 ms    0/ 3280 (0%)
4.18 Mbits/sec   0.047 ms    0/ 3552 (0%)
4.31 Mbits/sec   0.044 ms    0/ 3669 (0%)
6.34 Mbits/sec   0.136 ms    0/ 5388 (0%)
6.34 Mbits/sec   0.105 ms    0/ 5391 (0%)
3.21 Mbits/sec   0.433 ms    0/ 2733 (0%)
2.41 Mbits/sec   0.061 ms    0/ 2047 (0%)
5.53 Mbits/sec   0.028 ms    0/ 4706 (0%)
2.43 Mbits/sec   0.039 ms    0/ 2067 (0%)
2.38 Mbits/sec   0.029 ms    0/ 2029 (0%)
3.27 Mbits/sec   0.017 ms    0/ 2784 (0%)
7.44 Mbits/sec   0.068 ms    0/ 6330 (0%)
3.51 Mbits/sec   0.127 ms    0/ 2989 (0%)
5.25 Mbits/sec   0.081 ms    0/ 4461 (0%)
9.51 Mbits/sec   0.022 ms    0/ 8092 (0%)
