0.03 Mbits/sec   0.086 ms    0/ 2966 (0%)
0.08 Mbits/sec   0.647 ms    0/ 7370 (0%)
0.04 Mbits/sec   0.186 ms    0/ 3634 (0%)
0.04 Mbits/sec   0.048 ms    0/ 3750 (0%)
0.05 Mbits/sec   0.047 ms    0/ 4998 (0%)
0.06 Mbits/sec   0.019 ms    0/ 5761 (0%)
0.04 Mbits/sec   0.200 ms    0/ 4052 (0%)
0.05 Mbits/sec   0.039 ms    0/ 4971 (0%)
0.03 Mbits/sec   0.021 ms    0/ 3416 (0%)
0.05 Mbits/sec   0.021 ms    0/ 5152 (0%)
0.04 Mbits/sec   0.021 ms    0/ 4453 (0%)
0.05 Mbits/sec   0.024 ms    0/ 5427 (0%)
0.04 Mbits/sec   0.020 ms    0/ 4471 (0%)
0.03 Mbits/sec   0.301 ms    0/ 3764 (0%)
0.05 Mbits/sec   0.070 ms    0/ 5084 (0%)
0.05 Mbits/sec   0.685 ms    0/ 5116 (0%)
0.05 Mbits/sec   0.015 ms    0/ 5845 (0%)
