7.45 Mbits/sec   3.857 ms    0/ 6368 (0%) 74.256/ 5.801/179.751/24.036 ms  633 pps
9.00 Mbits/sec   0.107 ms    0/ 7655 (0%)  4.499/ 4.171/ 8.236/ 0.174 ms  765 pps
12.0 Mbits/sec   0.074 ms    0/10206 (0%)  4.598/ 4.117/27.090/ 0.947 ms 1020 pps
8.00 Mbits/sec   0.130 ms    0/ 6804 (0%)  4.417/ 4.100/ 7.758/ 0.144 ms  680 pps
10.0 Mbits/sec   0.137 ms    0/ 8505 (0%)  4.414/ 4.098/ 7.996/ 0.176 ms  850 pps
9.00 Mbits/sec   0.169 ms    0/ 7655 (0%)  4.456/ 4.071/10.907/ 0.296 ms  765 pps
9.00 Mbits/sec   0.068 ms    0/ 7654 (0%)  4.324/ 4.045/ 7.793/ 0.168 ms  765 pps
5.00 Mbits/sec   0.204 ms    0/ 4253 (0%)  4.343/ 4.032/ 7.268/ 0.169 ms  425 pps
7.00 Mbits/sec   0.448 ms    0/ 5954 (0%)  4.307/ 3.992/14.718/ 0.343 ms  595 pps
6.00 Mbits/sec   0.103 ms    0/ 5103 (0%)  4.281/ 4.000/10.482/ 0.201 ms  510 pps
7.00 Mbits/sec   0.111 ms    0/ 5954 (0%)  4.293/ 3.962/ 8.325/ 0.213 ms  595 pps
7.00 Mbits/sec   0.165 ms    0/ 5954 (0%)  4.228/ 3.939/ 8.867/ 0.189 ms  595 pps
12.0 Mbits/sec   0.118 ms    0/10205 (0%)  4.222/ 3.912/10.652/ 0.200 ms 1020 pps
9.00 Mbits/sec   0.131 ms    0/ 7655 (0%)  4.210/ 3.925/11.418/ 0.226 ms  765 pps
12.0 Mbits/sec   0.093 ms    0/10205 (0%)  4.190/ 3.853/11.213/ 0.251 ms 1020 pps
9.00 Mbits/sec   0.100 ms    0/ 7654 (0%)  4.168/ 3.854/ 8.685/ 0.195 ms  765 pps
10.0 Mbits/sec   0.107 ms    0/ 8505 (0%)  4.079/ 3.817/10.530/ 0.181 ms  850 pps
8.00 Mbits/sec   0.107 ms    0/ 6804 (0%)  4.111/ 3.820/ 9.695/ 0.159 ms  680 pps
12.0 Mbits/sec   0.125 ms    0/10205 (0%)  4.130/ 3.797/11.067/ 0.281 ms 1020 pps
7.00 Mbits/sec   0.113 ms    0/ 5954 (0%)  4.062/ 3.794/ 6.211/ 0.126 ms  595 pps
8.00 Mbits/sec   0.114 ms    0/ 6804 (0%)  4.062/ 3.751/ 8.900/ 0.185 ms  680 pps
9.00 Mbits/sec   0.121 ms    0/ 7654 (0%)  4.033/ 3.740/ 8.844/ 0.148 ms  765 pps
5.00 Mbits/sec   0.087 ms    0/ 4253 (0%)  4.011/ 3.707/ 5.075/ 0.115 ms  425 pps
9.00 Mbits/sec   0.096 ms    0/ 7654 (0%)  4.012/ 3.710/ 9.026/ 0.213 ms  765 pps
5.00 Mbits/sec   0.270 ms    0/ 4253 (0%)  4.001/ 3.705/ 9.582/ 0.160 ms  425 pps
7.00 Mbits/sec   0.109 ms    0/ 5954 (0%)  3.968/ 3.679/ 9.633/ 0.172 ms  595 pps
8.00 Mbits/sec   0.087 ms    0/ 6804 (0%)  3.940/ 3.644/ 8.194/ 0.155 ms  680 pps
10.0 Mbits/sec   0.137 ms    0/ 8505 (0%)  3.914/ 3.627/13.074/ 0.217 ms  850 pps
11.0 Mbits/sec   0.102 ms    0/ 9355 (0%)  3.892/ 3.613/ 7.595/ 0.179 ms  935 pps
11.0 Mbits/sec   0.109 ms    0/ 9355 (0%)  3.929/ 3.614/10.290/ 0.161 ms  935 pps
7.00 Mbits/sec   0.111 ms    0/ 5954 (0%)  3.975/ 3.616/ 7.606/ 0.160 ms  595 pps
9.00 Mbits/sec   0.074 ms    0/ 7655 (0%)  3.866/ 3.570/ 8.142/ 0.164 ms  765 pps
9.00 Mbits/sec   0.071 ms    0/ 7654 (0%)  3.824/ 3.558/ 8.567/ 0.165 ms  765 pps
8.00 Mbits/sec   0.079 ms    0/ 6804 (0%)  3.832/ 3.546/ 9.504/ 0.213 ms  680 pps
