10.0 Mbits/sec   0.119 ms    0/ 8505 (0%) -8.664/-8.944/-4.717/ 0.197 ms  850 pps
8.00 Mbits/sec   0.067 ms    0/ 6804 (0%) -8.608/-8.887/-6.343/ 0.157 ms  680 pps
5.00 Mbits/sec   0.106 ms    0/ 4253 (0%) -8.498/-8.860/-5.583/ 0.200 ms  425 pps
9.00 Mbits/sec   0.084 ms    0/ 7655 (0%) -8.565/-8.811/-3.521/ 0.169 ms  765 pps
10.0 Mbits/sec   0.089 ms    0/ 8505 (0%) -8.521/-8.785/-4.491/ 0.158 ms  850 pps
10.0 Mbits/sec   0.119 ms    0/ 8505 (0%) -8.482/-8.742/-6.888/ 0.141 ms  850 pps
9.00 Mbits/sec   0.129 ms    0/ 7655 (0%) -8.397/-8.683/ 1.639/ 0.298 ms  765 pps
7.00 Mbits/sec   0.085 ms    0/ 5954 (0%) -8.376/-8.643/-2.736/ 0.180 ms  595 pps
10.0 Mbits/sec   0.080 ms    0/ 8505 (0%) -8.332/-8.603/-5.225/ 0.170 ms  850 pps
10.0 Mbits/sec   0.099 ms    0/ 8505 (0%) -8.331/-8.569/-5.152/ 0.148 ms  850 pps
11.0 Mbits/sec   0.112 ms    0/ 9355 (0%) -8.247/-8.531/-3.320/ 0.176 ms  935 pps
6.00 Mbits/sec   0.104 ms    0/ 5104 (0%) -8.212/-8.471/-4.623/ 0.177 ms  510 pps
8.00 Mbits/sec   0.130 ms    0/ 6804 (0%) -8.153/-8.438/-1.001/ 0.250 ms  680 pps
6.00 Mbits/sec   0.127 ms    0/ 5104 (0%) -8.086/-8.399/-5.048/ 0.178 ms  510 pps
9.00 Mbits/sec   0.140 ms    0/ 7655 (0%) -8.083/-8.349/-4.189/ 0.162 ms  765 pps
9.00 Mbits/sec   0.097 ms    0/ 7654 (0%) -8.058/-8.321/-4.433/ 0.155 ms  765 pps
11.0 Mbits/sec   0.119 ms    0/ 9355 (0%) -7.988/-8.275/-3.007/ 0.172 ms  935 pps
10.0 Mbits/sec   0.088 ms    0/ 8505 (0%) -7.944/-8.246/ 1.865/ 0.263 ms  850 pps
11.0 Mbits/sec   0.097 ms    0/ 9355 (0%) -7.897/-8.191/-5.007/ 0.153 ms  935 pps
8.00 Mbits/sec   0.096 ms    0/ 6804 (0%) -7.883/-8.148/-1.877/ 0.177 ms  680 pps
12.0 Mbits/sec   0.089 ms    0/10206 (0%) -7.797/-8.102/-1.220/ 0.242 ms 1020 pps
9.00 Mbits/sec   0.113 ms    0/ 7654 (0%) -7.731/-8.041/-3.558/ 0.173 ms  765 pps
7.00 Mbits/sec   0.116 ms    0/ 5954 (0%) -7.745/-8.031/-5.565/ 0.152 ms  595 pps
8.00 Mbits/sec   0.130 ms    0/ 6804 (0%) -7.670/-7.983/-3.269/ 0.196 ms  680 pps
9.00 Mbits/sec   0.124 ms    0/ 7655 (0%) -7.653/-7.934/-1.748/ 0.176 ms  765 pps
9.00 Mbits/sec   0.167 ms    0/ 7655 (0%) -7.561/-7.884/-5.677/ 0.151 ms  765 pps
11.0 Mbits/sec   0.179 ms    0/ 9355 (0%) -7.588/-7.851/-2.459/ 0.194 ms  935 pps
10.0 Mbits/sec   0.132 ms    0/ 8505 (0%) -7.518/-7.820/-0.211/ 0.199 ms  850 pps
8.00 Mbits/sec   0.081 ms    0/ 6804 (0%) -7.482/-7.738/-0.089/ 0.202 ms  680 pps
10.0 Mbits/sec   0.111 ms    0/ 8505 (0%) -7.479/-7.730/-1.596/ 0.181 ms  850 pps
10.0 Mbits/sec   0.179 ms    0/ 8505 (0%) -7.403/-7.680/-5.575/ 0.142 ms  850 pps
7.00 Mbits/sec   0.079 ms    0/ 5954 (0%) -7.385/-7.637/-5.087/ 0.150 ms  595 pps
9.00 Mbits/sec   0.066 ms    0/ 7655 (0%) -7.329/-7.586/-3.529/ 0.159 ms  765 pps
8.00 Mbits/sec   0.107 ms    0/ 6804 (0%) -7.229/-7.535/ 0.156/ 0.231 ms  680 pps
9.00 Mbits/sec   0.135 ms    0/ 7655 (0%) -7.247/-7.536/-4.842/ 0.157 ms  765 pps
7.00 Mbits/sec   0.047 ms    0/ 5954 (0%) -7.216/-7.489/-3.325/ 0.174 ms  595 pps
10.0 Mbits/sec   0.204 ms    0/ 8505 (0%) -7.185/-7.438/-5.264/ 0.139 ms  850 pps
7.00 Mbits/sec   0.098 ms    0/ 5954 (0%) -7.129/-7.405/-1.657/ 0.183 ms  595 pps
11.0 Mbits/sec   0.161 ms    0/ 9355 (0%) -7.057/-7.357/-4.228/ 0.159 ms  935 pps
12.0 Mbits/sec   0.120 ms    0/10206 (0%) -7.028/-7.335/-0.007/ 0.224 ms 1020 pps
9.00 Mbits/sec   0.089 ms    0/ 7655 (0%) -7.026/-7.276/-3.894/ 0.145 ms  765 pps
9.00 Mbits/sec   0.106 ms    0/ 7654 (0%) -6.940/-7.216/-4.615/ 0.146 ms  765 pps
13.0 Mbits/sec   0.066 ms    0/11056 (0%) -6.935/-7.206/-1.014/ 0.194 ms 1105 pps
8.00 Mbits/sec   0.081 ms    0/ 6804 (0%) -6.890/-7.156/-3.384/ 0.151 ms  680 pps
6.00 Mbits/sec   0.111 ms    0/ 5103 (0%) -6.830/-7.109/-0.727/ 0.271 ms  510 pps
9.00 Mbits/sec   0.112 ms    0/ 7655 (0%) -6.804/-7.088/-2.438/ 0.153 ms  765 pps
10.0 Mbits/sec   0.134 ms    0/ 8505 (0%) -6.701/-6.997/-3.064/ 0.149 ms  850 pps
8.00 Mbits/sec   0.081 ms    0/ 6804 (0%) -6.718/-6.986/-4.251/ 0.152 ms  680 pps
8.00 Mbits/sec   0.236 ms    0/ 6804 (0%) -6.678/-6.958/-0.521/ 0.252 ms  680 pps
10.0 Mbits/sec   0.109 ms    0/ 8505 (0%) -6.607/-6.848/-3.104/ 0.154 ms  850 pps
7.00 Mbits/sec   0.138 ms    0/ 5954 (0%) -6.553/-6.863/-4.530/ 0.149 ms  595 pps
13.0 Mbits/sec   0.177 ms    0/11056 (0%) -6.537/-6.844/ 1.153/ 0.194 ms 1105 pps
7.00 Mbits/sec   0.139 ms    0/ 5954 (0%) -6.501/-6.801/-2.651/ 0.161 ms  595 pps
5.00 Mbits/sec   0.147 ms    0/ 4253 (0%) -6.456/-6.763/-0.413/ 0.216 ms  425 pps
9.00 Mbits/sec   0.058 ms    0/ 7654 (0%) -6.442/-6.700/-4.620/ 0.139 ms  765 pps
4.00 Mbits/sec   0.097 ms    0/ 3403 (0%) -6.353/-6.635/-3.292/ 0.177 ms  340 pps
