6.00 Mbits/sec   0.125 ms    0/ 5104 (0%) 376.045/375.476/383.275/ 5.269 ms  510 pps
10.0 Mbits/sec   0.118 ms    0/ 8505 (0%) 377.528/376.939/387.812/ 4.104 ms  850 pps
8.00 Mbits/sec   0.142 ms    0/ 6804 (0%) 378.795/378.213/384.628/ 4.594 ms  680 pps
13.0 Mbits/sec   0.119 ms    0/11056 (0%) 379.974/379.362/389.853/ 3.629 ms 1105 pps
7.00 Mbits/sec   0.104 ms    0/ 5954 (0%) 381.872/381.274/383.478/ 4.949 ms  595 pps
9.00 Mbits/sec   0.131 ms    0/ 7655 (0%) 383.083/382.525/385.484/ 4.381 ms  765 pps
10.0 Mbits/sec   0.108 ms    0/ 8505 (0%) 384.384/383.748/389.348/ 4.172 ms  850 pps
8.00 Mbits/sec   0.118 ms    0/ 6804 (0%) 385.568/385.067/391.276/ 4.679 ms  680 pps
8.00 Mbits/sec   0.283 ms    0/ 6804 (0%) 386.849/386.270/391.059/ 4.692 ms  680 pps
5.00 Mbits/sec   0.129 ms    0/ 4253 (0%) 388.309/387.786/391.200/ 5.956 ms  425 pps
10.0 Mbits/sec   0.119 ms    0/ 8505 (0%) 390.199/389.550/404.146/ 4.250 ms  850 pps
7.00 Mbits/sec   0.110 ms    0/ 5953 (0%) 391.386/390.754/396.598/ 5.074 ms  595 pps
7.00 Mbits/sec   0.113 ms    0/ 5954 (0%) 392.610/391.921/395.558/ 5.090 ms  595 pps
9.00 Mbits/sec   0.122 ms    0/ 7655 (0%) 393.836/393.189/395.766/ 4.501 ms  765 pps
10.0 Mbits/sec   0.140 ms    0/ 8505 (0%) 395.111/394.487/400.163/ 4.291 ms  850 pps
8.00 Mbits/sec   0.084 ms    0/ 6804 (0%) 396.371/395.722/402.346/ 4.814 ms  680 pps
9.00 Mbits/sec   0.122 ms    0/ 7655 (0%) 398.205/397.624/401.939/ 4.554 ms  765 pps
10.0 Mbits/sec   0.121 ms    0/ 8505 (0%) 399.470/398.838/401.999/ 4.334 ms  850 pps
10.0 Mbits/sec   0.102 ms    0/ 8505 (0%) 400.667/400.052/403.019/ 4.355 ms  850 pps
11.0 Mbits/sec   0.136 ms    0/ 9355 (0%) 401.951/401.310/406.591/ 4.165 ms  935 pps
7.00 Mbits/sec   0.083 ms    0/ 5954 (0%) 403.107/402.487/410.406/ 5.232 ms  595 pps
9.00 Mbits/sec   0.157 ms    0/ 7655 (0%) 404.306/403.666/416.860/ 4.641 ms  765 pps
8.00 Mbits/sec   0.100 ms    0/ 6804 (0%) 406.126/405.555/409.462/ 4.926 ms  680 pps
9.00 Mbits/sec   0.140 ms    0/ 7655 (0%) 407.358/406.741/409.877/ 4.657 ms  765 pps
6.00 Mbits/sec   0.165 ms    0/ 5104 (0%) 408.593/408.001/417.764/ 5.726 ms  510 pps
10.0 Mbits/sec   0.146 ms    0/ 8505 (0%) 409.737/409.176/418.663/ 4.450 ms  850 pps
8.00 Mbits/sec   0.093 ms    2/ 6804 (0.029%) 411.026/410.438/418.661/ 4.993 ms  680 pps
10.0 Mbits/sec   0.108 ms    0/ 8505 (0%) 412.304/411.655/428.734/ 4.511 ms  850 pps
8.00 Mbits/sec   0.145 ms    1/ 6804 (0.015%) 414.138/413.593/417.199/ 5.026 ms  680 pps
