    0/ 4253 (0%) 482.129/481.494/485.420/ 7.393 
    0/11056 (0%) 483.343/482.696/490.785/ 4.606 
    0/ 9355 (0%) 484.611/483.969/498.701/ 5.027 
    0/ 8505 (0%) 486.444/485.832/490.098/ 5.277 
    0/ 5954 (0%) 487.621/487.011/491.020/ 6.320 
    0/ 5954 (0%) 488.863/488.298/491.198/ 6.334 
    0/ 7655 (0%) 490.108/489.451/493.076/ 5.601 
    0/ 4253 (0%) 491.445/490.835/494.362/ 7.535 
    0/ 6804 (0%) 492.673/492.080/504.117/ 5.982 
    0/ 5104 (0%) 494.566/493.893/497.456/ 6.923 
    0/ 7655 (0%) 495.849/495.208/500.255/ 5.666 
    0/ 5954 (0%) 497.083/496.493/499.286/ 6.442 
    0/ 5104 (0%) 498.332/497.799/499.933/ 6.977 
    0/ 7655 (0%) 499.635/499.030/503.950/ 5.711 
    0/ 7655 (0%) 500.933/500.252/517.163/ 5.745 
    0/ 5104 (0%) 502.872/502.223/506.665/ 7.037 
    0/ 6804 (0%) 504.095/503.506/509.522/ 6.112 
    0/ 7655 (0%) 505.377/504.758/508.496/ 5.779 
    0/ 7655 (0%) 506.627/506.034/510.839/ 5.794 
    0/ 8505 (0%) 507.904/507.285/510.132/ 5.508 
    0/ 9355 (0%) 509.204/508.562/522.205/ 5.286 
    0/ 6804 (0%) 511.378/510.824/520.664/ 6.207 
    0/ 7655 (0%) 512.701/512.056/519.344/ 5.865 
    0/ 5954 (0%) 514.598/514.007/517.955/ 6.669 
    0/ 7655 (0%) 515.952/515.377/517.207/ 5.897 
    0/ 7655 (0%) 517.546/516.907/526.689/ 5.926 
    0/ 9355 (0%) 518.887/518.234/526.014/ 5.381 
    0/ 6804 (0%) 520.778/520.217/522.710/ 6.315 
    0/ 5104 (0%) 522.049/521.435/526.423/ 7.305 
    0/ 5954 (0%) 523.324/522.708/527.826/ 6.786 
    0/10206 (0%) 524.604/523.981/529.015/ 5.196 
    0/ 6804 (0%) 525.820/525.247/530.946/ 6.375 
    0/ 8505 (0%) 527.115/526.473/538.351/ 5.723 
    0/ 5954 (0%) 529.056/528.493/533.505/ 6.856 
    0/ 7655 (0%) 530.357/529.767/536.802/ 6.063 
    0/ 6804 (0%) 531.535/530.963/535.512/ 6.446 
    0/ 7655 (0%) 532.739/532.131/535.244/ 6.089 
    0/ 5104 (0%) 534.017/533.413/538.424/ 7.476 
    0/ 7655 (0%) 535.264/534.684/539.599/ 6.119 
    0/ 5954 (0%) 537.226/536.688/542.091/ 6.962 
    0/ 8505 (0%) 538.413/537.834/540.757/ 5.840 
    0/ 7655 (0%) 539.760/539.117/544.610/ 6.172 
    0/ 9355 (0%) 540.977/540.335/544.377/ 5.595 
    0/11906 (0%) 542.264/541.673/546.989/ 4.974 
    0/ 9355 (0%) 543.473/542.895/548.794/ 5.621 
