11.0 Mbits/sec   0.110 ms    0/ 9355 (0%) 5305.382/5304.730/5309.048/54.851 ms  935 pps
5.00 Mbits/sec   0.129 ms    0/ 4253 (0%) 5307.068/5306.406/5311.437/81.383 ms  425 pps
7.00 Mbits/sec   0.087 ms    0/ 5954 (0%) 5309.473/5308.807/5314.944/68.811 ms  595 pps
8.00 Mbits/sec   0.107 ms    0/ 6804 (0%) 5311.082/5310.429/5315.051/64.389 ms  680 pps
8.00 Mbits/sec   0.092 ms    0/ 6804 (0%) 5312.762/5312.088/5318.593/64.410 ms  680 pps
9.00 Mbits/sec   0.131 ms    0/ 7655 (0%) 5314.414/5313.712/5318.945/60.744 ms  765 pps
4.00 Mbits/sec   0.212 ms    0/ 3403 (0%) 5316.360/5315.673/5319.868/91.145 ms  340 pps
9.00 Mbits/sec   0.167 ms    0/ 7655 (0%) 5317.940/5317.273/5322.178/60.780 ms  765 pps
7.00 Mbits/sec   0.161 ms    0/ 5954 (0%) 5320.385/5319.718/5324.081/68.952 ms  595 pps
5.00 Mbits/sec   0.170 ms    0/ 4253 (0%) 5322.017/5321.328/5326.523/81.611 ms  425 pps
10.0 Mbits/sec   0.169 ms    0/ 8505 (0%) 5323.642/5322.955/5328.499/57.726 ms  850 pps
11.0 Mbits/sec   0.124 ms    0/ 9355 (0%) 5325.159/5324.489/5330.283/55.056 ms  935 pps
6.00 Mbits/sec   0.069 ms    0/ 5104 (0%) 5326.702/5326.004/5330.724/74.564 ms  510 pps
9.00 Mbits/sec   0.164 ms    0/ 7655 (0%) 5328.426/5327.677/5332.363/60.903 ms  765 pps
5.00 Mbits/sec   0.113 ms    0/ 4253 (0%) 5330.897/5330.257/5335.221/81.750 ms  425 pps
8.00 Mbits/sec   0.141 ms    0/ 6804 (0%) 5332.890/5332.191/5336.713/64.653 ms  680 pps
6.00 Mbits/sec   0.130 ms    0/ 5104 (0%) 5334.438/5333.753/5340.333/74.671 ms  510 pps
8.00 Mbits/sec   0.121 ms    0/ 6804 (0%) 5336.130/5335.479/5339.307/64.689 ms  680 pps
7.00 Mbits/sec   0.123 ms    0/ 5954 (0%) 5337.830/5337.153/5343.750/69.181 ms  595 pps
9.00 Mbits/sec   0.106 ms    0/ 7655 (0%) 5339.471/5338.769/5345.929/61.027 ms  765 pps
7.00 Mbits/sec   0.124 ms    0/ 5954 (0%) 5341.882/5341.189/5345.142/69.232 ms  595 pps
8.00 Mbits/sec   0.133 ms    0/ 6804 (0%) 5343.556/5342.850/5351.237/64.782 ms  680 pps
12.0 Mbits/sec   0.138 ms    0/10206 (0%) 5345.139/5344.462/5349.283/52.907 ms 1020 pps
6.00 Mbits/sec   0.159 ms    0/ 5104 (0%) 5346.805/5346.192/5351.526/74.844 ms  510 pps
9.00 Mbits/sec   0.175 ms    0/ 7655 (0%) 5348.463/5347.757/5355.264/61.129 ms  765 pps
7.00 Mbits/sec   0.112 ms    0/ 5954 (0%) 5350.036/5349.332/5357.194/69.335 ms  595 pps
10.0 Mbits/sec   0.208 ms    0/ 8505 (0%) 5352.469/5351.762/5358.612/58.053 ms  850 pps
8.00 Mbits/sec   0.109 ms    0/ 6804 (0%) 5354.027/5353.331/5359.386/64.910 ms  680 pps
8.00 Mbits/sec   0.152 ms    0/ 6804 (0%) 5355.644/5354.989/5359.294/64.928 ms  680 pps
8.00 Mbits/sec   0.135 ms    0/ 6804 (0%) 5357.336/5356.661/5361.222/64.947 ms  680 pps
6.00 Mbits/sec   0.153 ms    0/ 5104 (0%) 5358.902/5358.190/5363.158/75.010 ms  510 pps
7.00 Mbits/sec   0.143 ms    0/ 5954 (0%) 5360.526/5359.844/5364.745/69.472 ms  595 pps
6.00 Mbits/sec   0.135 ms    0/ 5104 (0%) 5363.694/5363.096/5367.917/75.079 ms  510 pps
9.00 Mbits/sec   0.156 ms    0/ 7655 (0%) 5365.288/5364.647/5370.922/61.323 ms  765 pps
6.00 Mbits/sec   0.147 ms    0/ 5104 (0%) 5366.889/5366.199/5370.391/75.124 ms  510 pps
10.0 Mbits/sec   0.088 ms    0/ 8505 (0%) 5368.478/5367.847/5373.348/58.211 ms  850 pps
8.00 Mbits/sec   0.458 ms    0/ 6804 (0%) 5370.112/5369.483/5374.228/65.106 ms  680 pps
2.00 Mbits/sec   0.148 ms    0/ 1702 (0%) 5371.741/5371.246/5373.611/130.238 ms  170 pps
8.00 Mbits/sec   0.109 ms    0/ 6804 (0%) 5374.163/5373.466/5378.351/65.154 ms  680 pps
8.00 Mbits/sec   0.141 ms    0/ 6804 (0%) 5375.813/5375.151/5380.089/65.175 ms  680 pps
9.00 Mbits/sec   0.092 ms    0/ 7655 (0%) 5377.421/5376.793/5383.314/61.459 ms  765 pps
3.00 Mbits/sec   0.115 ms    0/ 2553 (0%) 5379.006/5378.424/5381.827/106.473 ms  255 pps
7.00 Mbits/sec   0.131 ms    0/ 5954 (0%) 5380.642/5380.004/5385.240/69.734 ms  595 pps
7.00 Mbits/sec   0.128 ms    0/ 5954 (0%) 5382.268/5381.630/5388.547/69.755 ms  595 pps
10.0 Mbits/sec   0.127 ms    0/ 8505 (0%) 5385.124/5384.456/5391.639/58.392 ms  850 pps
7.00 Mbits/sec   0.112 ms    0/ 5954 (0%) 5386.669/5386.044/5393.675/69.813 ms  595 pps
7.00 Mbits/sec   0.137 ms    0/ 5954 (0%) 5388.253/5387.607/5393.089/69.831 ms  595 pps
10.0 Mbits/sec   0.072 ms    0/ 8505 (0%) 5389.956/5389.328/5395.823/58.446 ms  850 pps
9.00 Mbits/sec   0.121 ms    1/ 7655 (0.013%) 5391.508/5390.888/5396.697/61.628 ms  765 pps
5.00 Mbits/sec   0.153 ms    0/ 4253 (0%) 5393.138/5392.507/5396.618/82.705 ms  424 pps
7.00 Mbits/sec   0.148 ms    0/ 5954 (0%) 5395.638/5394.972/5400.940/69.928 ms  595 pps
7.00 Mbits/sec   0.117 ms    0/ 5954 (0%) 5397.253/5396.589/5400.796/69.949 ms  595 pps
7.00 Mbits/sec   0.117 ms    0/ 5954 (0%) 5398.936/5398.303/5402.884/69.971 ms  595 pps
6.00 Mbits/sec   0.110 ms    0/ 5104 (0%) 5400.557/5399.890/5405.289/75.597 ms  510 pps
7.00 Mbits/sec   0.119 ms    0/ 5954 (0%) 5402.235/5401.574/5406.783/70.015 ms  595 pps
8.00 Mbits/sec   0.121 ms    0/ 6804 (0%) 5403.848/5403.240/5411.071/65.515 ms  680 pps
9.00 Mbits/sec   0.152 ms    0/ 7655 (0%) 5406.234/5405.570/5413.216/61.793 ms  765 pps
10.0 Mbits/sec   0.080 ms    0/ 8505 (0%) 5407.833/5407.211/5413.328/58.639 ms  850 pps
8.00 Mbits/sec   0.162 ms    0/ 6804 (0%) 5409.462/5408.794/5414.898/65.581 ms  680 pps
6.00 Mbits/sec   0.139 ms    0/ 5104 (0%) 5411.091/5410.413/5419.117/75.743 ms  510 pps
3.00 Mbits/sec   0.117 ms    0/ 2553 (0%) 5412.780/5412.079/5419.732/107.139 ms  255 pps
9.00 Mbits/sec   0.104 ms    0/ 7655 (0%) 5414.372/5413.678/5419.124/61.884 ms  765 pps
