    0/ 5954 (0%) 5320.385/5319.718/5324.081/68.952 
    0/ 4253 (0%) 5322.017/5321.328/5326.523/81.611 
    0/ 8505 (0%) 5323.642/5322.955/5328.499/57.726 
    0/ 9355 (0%) 5325.159/5324.489/5330.283/55.056 
    0/ 5104 (0%) 5326.702/5326.004/5330.724/74.564 
    0/ 7655 (0%) 5328.426/5327.677/5332.363/60.903 
    0/ 4253 (0%) 5330.897/5330.257/5335.221/81.750 
    0/ 6804 (0%) 5332.890/5332.191/5336.713/64.653 
    0/ 5104 (0%) 5334.438/5333.753/5340.333/74.671 
    0/ 6804 (0%) 5336.130/5335.479/5339.307/64.689 
    0/ 5954 (0%) 5337.830/5337.153/5343.750/69.181 
    0/ 7655 (0%) 5339.471/5338.769/5345.929/61.027 
    0/ 5954 (0%) 5341.882/5341.189/5345.142/69.232 
    0/ 6804 (0%) 5343.556/5342.850/5351.237/64.782 
    0/10206 (0%) 5345.139/5344.462/5349.283/52.907 
    0/ 5104 (0%) 5346.805/5346.192/5351.526/74.844 
    0/ 7655 (0%) 5348.463/5347.757/5355.264/61.129 
    0/ 5954 (0%) 5350.036/5349.332/5357.194/69.335 
    0/ 8505 (0%) 5352.469/5351.762/5358.612/58.053 
    0/ 6804 (0%) 5354.027/5353.331/5359.386/64.910 
    0/ 6804 (0%) 5355.644/5354.989/5359.294/64.928 
    0/ 6804 (0%) 5357.336/5356.661/5361.222/64.947 
    0/ 5104 (0%) 5358.902/5358.190/5363.158/75.010 
    0/ 5954 (0%) 5360.526/5359.844/5364.745/69.472 
    0/ 5104 (0%) 5363.694/5363.096/5367.917/75.079 
    0/ 7655 (0%) 5365.288/5364.647/5370.922/61.323 
    0/ 5104 (0%) 5366.889/5366.199/5370.391/75.124 
    0/ 8505 (0%) 5368.478/5367.847/5373.348/58.211 
    0/ 6804 (0%) 5370.112/5369.483/5374.228/65.106 
    0/ 1702 (0%) 5371.741/5371.246/5373.611/130.238 
    0/ 6804 (0%) 5374.163/5373.466/5378.351/65.154 
    0/ 6804 (0%) 5375.813/5375.151/5380.089/65.175 
    0/ 7655 (0%) 5377.421/5376.793/5383.314/61.459 
    0/ 2553 (0%) 5379.006/5378.424/5381.827/106.473 
    0/ 5954 (0%) 5380.642/5380.004/5385.240/69.734 
    0/ 5954 (0%) 5382.268/5381.630/5388.547/69.755 
    0/ 8505 (0%) 5385.124/5384.456/5391.639/58.392 
    0/ 5954 (0%) 5386.669/5386.044/5393.675/69.813 
    0/ 5954 (0%) 5388.253/5387.607/5393.089/69.831 
    0/ 8505 (0%) 5389.956/5389.328/5395.823/58.446 
    1/ 7655 (0.013%) 5391.508/5390.888/5396.697/61.628 
    0/ 4253 (0%) 5393.138/5392.507/5396.618/82.705 
    0/ 5954 (0%) 5395.638/5394.972/5400.940/69.928 
    0/ 5954 (0%) 5397.253/5396.589/5400.796/69.949 
    0/ 5954 (0%) 5398.936/5398.303/5402.884/69.971 
    0/ 5104 (0%) 5400.557/5399.890/5405.289/75.597 
    0/ 5954 (0%) 5402.235/5401.574/5406.783/70.015 
    0/ 6804 (0%) 5403.848/5403.240/5411.071/65.515 
    0/ 7655 (0%) 5406.234/5405.570/5413.216/61.793 
    0/ 8505 (0%) 5407.833/5407.211/5413.328/58.639 
    0/ 6804 (0%) 5409.462/5408.794/5414.898/65.581 
    0/ 5104 (0%) 5411.091/5410.413/5419.117/75.743 
    0/ 2553 (0%) 5412.780/5412.079/5419.732/107.139 
    0/ 7655 (0%) 5414.372/5413.678/5419.124/61.884 
    0/ 5104 (0%) 5416.779/5416.157/5424.187/75.821 
    0/ 8505 (0%) 5418.408/5417.740/5423.908/58.752 
    0/ 5954 (0%) 5420.078/5419.387/5423.761/70.241 
    0/ 6804 (0%) 5421.674/5421.021/5426.161/65.728 
    0/ 7655 (0%) 5423.303/5422.629/5428.940/61.988 
    0/ 6804 (0%) 5425.383/5424.651/5430.537/65.772 
    0/ 5954 (0%) 5427.749/5427.048/5431.750/70.343 
    0/ 9355 (0%) 5429.361/5428.685/5439.911/56.133 
    0/ 6804 (0%) 5430.896/5430.223/5435.731/65.840 
    0/ 2553 (0%) 5432.599/5431.984/5434.850/107.531 
    0/ 8499 (0%) 5434.156/5433.466/5439.289/58.944 
