3.63 Mbits/sec   0.006 ms    0/ 3086 (0%)
5.54 Mbits/sec   0.011 ms    0/ 4709 (0%)
6.82 Mbits/sec   0.012 ms    0/ 5798 (0%)
4.20 Mbits/sec   0.016 ms    0/ 3574 (0%)
5.12 Mbits/sec   0.022 ms    0/ 4354 (0%)
4.34 Mbits/sec   0.020 ms    0/ 3692 (0%)
6.24 Mbits/sec   0.014 ms    0/ 5306 (0%)
4.24 Mbits/sec   0.011 ms    0/ 3609 (0%)
4.08 Mbits/sec   0.026 ms    0/ 3469 (0%)
6.75 Mbits/sec   0.040 ms    0/ 5741 (0%)
