60000,60000
60001,60000
60000,60002
60003,60000
60001,60000
60000,60000
60000,60001
60002,60002
60003,60001
60001,60001
60000,60003
60001,60000
60002,60001
60001,60004
60004,60001
60005,60000
60003,60005
60002,60002
60004,60002
60004,60002
60001,60003
60002,60005
60003,60005
60004,60004
60005,60006
60006,60003
60004,60007
60005,60005
60003,60006
60006,60007
60004,60006
60003,60007
60002,60007
60006,60002
60006,60007
60003,60003
60008,60004
60008,60008
60005,60009
60009,60005
60004,60006
60010,60008
60011,60004
60005,60007
60007,60005
60006,60008
60007,60009
60009,60001
60008,60012
60013,60007
60002,60008
60009,60010
60008,60009
60009,60006
60010,60007
60003,60010
60010,60011
60011,60012
60014,60012
60008,60011
60015,60010
60009,60010
60004,60016
60011,60011
60009,60013
60013,60006
60012,60005
60006,60013
60014,60007
60014,60011
60012,60010
60012,60013
60015,60012
60015,60011
60010,60007
60017,60012
60016,60014
60015,60011
60014,60017
60018,60015
60016,60016
60008,60008
60016,60019
60017,60013
60018,60012
60013,60017
60019,60014
60013,60017
60020,60013
60014,60014
60020,60015
60014,60015
60009,60008
60021,60015
60009,60009
60018,60010
60018,60015
60018,60019
60011,60020
60016,60022
60017,60021
60023,60019
60018,60016
60017,60010
60012,60024
60016,60011
60022,60020
60021,60018
60012,60019
60013,60023
60019,60019
60020,60017
60014,60020
60010,60021
60011,60024
60022,60013
60022,60025
60020,60018
60026,60023
60024,60015
60021,60016
60016,60014
60027,60025
60015,60012
60028,60021
60022,60021
60023,60025
60022,60023
60017,60029
60018,60026
60023,60024
60017,60024
60013,60019
60026,60014
60024,60025
60019,60025
60027,60022
60020,60030
60025,60016
60018,60027
60031,60017
60026,60026
60028,60023
60028,60015
60024,60019
60020,60020
60021,60027
60022,60021
60021,60028
60023,60016
60022,60022
60026,60024
60023,60018
60025,60027
60019,60029
60030,60028
60031,60026
60027,60017
60028,60023
60027,60029
60032,60030
60018,60029
60032,60029
60024,60029
60025,60024
60025,60019
60025,60026
60033,60026
60033,60034
60030,60030
60031,60034
60031,60020
60020,60027
60032,60030
60031,60028
60026,60035
60036,60029
60021,60021
60033,60035
60036,60027
60022,60034
60022,60028
60037,60029
60023,60037
60028,60023
60032,60035
60024,60024
60030,60032
60033,60030
60038,60038
60031,60027
60039,60025
60026,60040
60031,60032
60033,60034
60027,60031
60039,60032
60033,60033
60032,60041
60028,60035
60028,60033
60029,60034
60034,60035
60035,60029
60029,60036
60030,60040
60037,60042
60031,60036
