10.0 Mbits/sec   0.063 ms    0/ 8505 (0%) -530.266/-530.728/-526.858/ 5.753 ms  850 pps
8.00 Mbits/sec   0.074 ms    0/ 6804 (0%) -529.263/-529.702/-527.438/ 6.421 ms  680 pps
7.00 Mbits/sec   0.088 ms    0/ 5954 (0%) -528.241/-528.696/-527.361/ 6.850 ms  595 pps
7.00 Mbits/sec   0.096 ms    1/ 5953 (0.017%) -526.706/-527.147/-525.903/ 6.834 ms  595 pps
9.00 Mbits/sec   0.050 ms    0/ 7655 (0%) -525.719/-526.174/-524.367/ 6.014 ms  765 pps
2.00 Mbits/sec   0.080 ms    0/ 1702 (0%) -524.740/-525.131/-524.293/12.729 ms  170 pps
9.00 Mbits/sec   0.106 ms    0/ 7655 (0%) -523.745/-524.186/-522.356/ 5.991 ms  765 pps
6.00 Mbits/sec   0.077 ms    0/ 5104 (0%) -522.668/-523.074/-521.589/ 7.322 ms  510 pps
5.00 Mbits/sec   0.080 ms    0/ 4253 (0%) -521.633/-522.060/-520.669/ 8.005 ms  425 pps
6.00 Mbits/sec   0.072 ms    0/ 5103 (0%) -520.131/-520.564/-519.077/ 7.288 ms  510 pps
8.00 Mbits/sec   0.096 ms    0/ 6804 (0%) -519.152/-519.611/-517.821/ 6.300 ms  680 pps
7.00 Mbits/sec   0.092 ms    0/ 5954 (0%) -518.135/-518.545/-515.407/ 6.719 ms  595 pps
6.00 Mbits/sec   0.103 ms    0/ 5104 (0%) -517.051/-517.480/-515.979/ 7.240 ms  510 pps
7.00 Mbits/sec   0.105 ms    2/ 5954 (0.034%) -516.060/-516.467/-514.392/ 6.693 ms  595 pps
9.00 Mbits/sec   0.099 ms    0/ 7655 (0%) -514.965/-515.436/-512.388/ 5.892 ms  765 pps
7.00 Mbits/sec   0.120 ms    0/ 5954 (0%) -513.464/-513.836/-511.797/ 6.658 ms  595 pps
8.00 Mbits/sec   0.084 ms    0/ 6804 (0%) -512.422/-512.819/-509.692/ 6.219 ms  680 pps
6.00 Mbits/sec   0.077 ms    0/ 5104 (0%) -511.412/-511.817/-510.274/ 7.164 ms  510 pps
10.0 Mbits/sec   0.278 ms    0/ 8505 (0%) -510.340/-510.793/-508.214/ 5.540 ms  850 pps
7.00 Mbits/sec   0.110 ms    0/ 5954 (0%) -509.311/-509.737/-508.741/ 6.605 ms  595 pps
9.00 Mbits/sec   0.078 ms    0/ 7655 (0%) -508.264/-508.722/-506.010/ 5.815 ms  765 pps
9.00 Mbits/sec   0.094 ms    0/ 7655 (0%) -506.760/-507.219/-504.973/ 5.796 ms  765 pps
11.0 Mbits/sec   0.079 ms    0/ 9355 (0%) -505.702/-506.135/-503.784/ 5.234 ms  935 pps
7.00 Mbits/sec   0.038 ms    0/ 5954 (0%) -504.673/-505.118/-502.103/ 6.545 ms  595 pps
6.00 Mbits/sec   0.077 ms    0/ 5104 (0%) -503.614/-504.020/-502.731/ 7.058 ms  510 pps
2.00 Mbits/sec   0.044 ms    0/ 1702 (0%) -502.527/-502.969/-501.015/12.195 ms  170 pps
6.00 Mbits/sec   0.065 ms    0/ 5104 (0%) -501.528/-501.960/-500.866/ 7.025 ms  510 pps
11.0 Mbits/sec   0.081 ms    0/ 9355 (0%) -500.016/-500.458/-498.089/ 5.175 ms  935 pps
11.0 Mbits/sec   0.080 ms    0/ 9355 (0%) -498.998/-499.451/-497.325/ 5.164 ms  935 pps
4.00 Mbits/sec   0.084 ms    0/ 3403 (0%) -497.981/-498.421/-497.461/ 8.542 ms  340 pps
6.00 Mbits/sec   0.064 ms    0/ 5104 (0%) -496.921/-497.363/-495.221/ 6.962 ms  510 pps
8.00 Mbits/sec   0.098 ms    0/ 6804 (0%) -495.901/-496.287/-493.348/ 6.019 ms  680 pps
