    0/ 5104 (0%) -448.745/-449.181/-446.757/ 6.285 
    0/ 5104 (0%) -447.695/-448.169/-446.700/ 6.276 
    0/ 5104 (0%) -446.136/-446.600/-445.009/ 6.250 
    0/ 9354 (0%) -445.138/-445.537/-443.741/ 4.608 
    0/11056 (0%) -444.145/-444.588/-442.483/ 4.229 
    0/ 4253 (0%) -443.127/-443.496/-442.593/ 6.799 
    0/ 7654 (0%) -442.055/-442.488/-439.439/ 5.058 
    0/ 5954 (0%) -440.974/-441.412/-438.975/ 5.720 
    0/ 4253 (0%) -439.518/-439.905/-438.720/ 6.745 
    0/ 7655 (0%) -438.430/-438.866/-436.737/ 5.016 
    0/ 7655 (0%) -437.386/-437.799/-434.541/ 5.005 
    0/ 7655 (0%) -436.294/-436.730/-434.015/ 4.993 
    0/ 7655 (0%) -435.282/-435.765/-431.081/ 4.983 
    0/ 6804 (0%) -434.215/-434.625/-433.234/ 5.269 
    0/ 5104 (0%) -432.678/-433.148/-431.594/ 6.062 
    0/ 5104 (0%) -431.705/-432.158/-430.148/ 6.050 
    0/ 8505 (0%) -430.666/-431.128/-428.984/ 4.676 
    0/ 9355 (0%) -429.646/-430.055/-427.214/ 4.447 
    0/ 6804 (0%) -428.671/-429.082/-426.854/ 5.202 
    0/ 4253 (0%) -427.682/-428.079/-426.424/ 6.564 
    0/ 5954 (0%) -426.132/-426.553/-424.485/ 5.527 
    0/ 4253 (0%) -425.077/-425.515/-423.837/ 6.525 
    0/ 6804 (0%) -424.024/-424.424/-423.096/ 5.146 
    0/ 4253 (0%) -423.039/-423.419/-422.110/ 6.492 
    0/ 5954 (0%) -422.022/-422.439/-420.481/ 5.475 
    0/ 6804 (0%) -420.944/-421.362/-419.305/ 5.108 
    0/ 5954 (0%) -419.400/-419.858/-417.062/ 5.443 
    0/ 7655 (0%) -418.380/-418.814/-415.586/ 4.787 
    0/ 4253 (0%) -417.343/-417.713/-415.818/ 6.406 
