    0/10206 (0%) -553.549/-554.005/-552.094/ 5.486 
    0/ 4253 (0%) -449.268/-449.677/-447.902/ 6.898 
    0/ 4253 (0%) -448.199/-448.601/-446.599/ 6.879 
    0/ 6804 (0%) -446.656/-447.079/-445.238/ 5.422 
    0/ 7655 (0%) -445.649/-446.083/-443.849/ 5.100 
    0/ 5103 (0%) -444.633/-445.009/-442.607/ 6.230 
    0/ 5954 (0%) -443.620/-444.028/-441.910/ 5.757 
    0/ 3403 (0%) -442.532/-442.991/-441.329/ 7.593 
    0/ 9355 (0%) -441.559/-442.031/-439.435/ 4.571 
    0/ 5104 (0%) -440.007/-440.400/-439.026/ 6.167 
    0/ 7655 (0%) -438.970/-439.420/-437.308/ 5.023 
    0/ 8505 (0%) -437.958/-438.393/-435.787/ 4.754 
    0/ 5104 (0%) -436.971/-437.385/-435.403/ 6.122 
    0/ 5104 (0%) -435.963/-436.432/-434.988/ 6.110 
    0/ 3403 (0%) -435.027/-435.446/-434.187/ 7.462 
    0/10206 (0%) -433.446/-433.891/-431.326/ 4.297 
    0/ 7655 (0%) -432.437/-432.861/-428.209/ 4.948 
    0/ 5104 (0%) -431.375/-431.804/-430.158/ 6.045 
    0/ 8505 (0%) -430.327/-430.781/-428.194/ 4.672 
    0/ 8505 (0%) -429.233/-429.727/-425.870/ 4.661 
    0/ 1702 (0%) -428.267/-428.616/-427.833/10.391 
    0/ 5103 (0%) -426.640/-427.074/-425.079/ 5.979 
    0/ 6804 (0%) -425.584/-426.037/-424.248/ 5.166 
    0/ 7655 (0%) -424.529/-424.960/-422.279/ 4.858 
    0/ 9355 (0%) -423.487/-423.954/-422.554/ 4.384 
    0/ 5104 (0%) -422.466/-422.851/-421.369/ 5.919 
    0/ 6804 (0%) -421.482/-421.935/-419.453/ 5.115 
    0/ 8505 (0%) -420.004/-420.429/-418.334/ 4.560 
    0/ 5954 (0%) -418.936/-419.385/-417.853/ 5.434 
    0/ 6804 (0%) -417.911/-418.402/-416.439/ 5.073 
    0/ 8505 (0%) -416.882/-417.335/-415.620/ 4.527 
    0/ 5104 (0%) -415.872/-416.324/-413.983/ 5.829 
    0/ 6804 (0%) -414.815/-415.293/-412.362/ 5.036 
    0/ 8505 (0%) -413.268/-413.718/-410.901/ 4.487 
    0/ 4253 (0%) -412.222/-412.697/-410.432/ 6.331 
    0/ 5954 (0%) -411.200/-411.668/-410.470/ 5.338 
    0/ 8505 (0%) -410.179/-410.662/-408.172/ 4.455 
    0/ 8505 (0%) -409.194/-409.634/-406.533/ 4.443 
    0/ 3403 (0%) -408.198/-408.609/-407.629/ 7.004 
    0/ 5104 (0%) -406.595/-407.039/-405.783/ 5.698 
    0/ 4253 (0%) -405.525/-405.948/-404.706/ 6.224 
    0/ 9355 (0%) -404.459/-404.915/-403.009/ 4.186 
    0/ 7655 (0%) -403.496/-403.923/-400.519/ 4.620 
    0/ 7655 (0%) -402.505/-402.919/-401.468/ 4.606 
    0/ 5954 (0%) -401.445/-401.935/-399.561/ 5.208 
    0/ 4253 (0%) -399.910/-400.318/-398.420/ 6.136 
    0/ 5954 (0%) -398.910/-399.375/-395.124/ 5.177 
    0/ 5954 (0%) -397.846/-398.288/-396.395/ 5.162 
    0/ 8505 (0%) -396.812/-397.259/-395.529/ 4.310 
    0/ 5954 (0%) -395.834/-396.295/-393.560/ 5.140 
    0/ 7655 (0%) -394.844/-395.282/-393.153/ 4.520 
    0/ 5954 (0%) -393.258/-393.675/-390.000/ 5.102 
    0/ 4253 (0%) -392.273/-392.699/-391.466/ 6.023 
    0/ 5953 (0%) -391.227/-391.678/-388.123/ 5.077 
    0/ 5104 (0%) -390.212/-390.657/-388.922/ 5.470 
    0/ 6804 (0%) -389.112/-389.567/-387.430/ 4.725 
    0/ 8505 (0%) -388.035/-388.531/-386.769/ 4.212 
    0/ 5103 (0%) -386.534/-386.980/-385.316/ 5.420 
    0/ 5104 (0%) -385.510/-385.944/-383.999/ 5.402 
    0/ 6804 (0%) -384.498/-384.891/-382.434/ 4.667 
    0/ 7655 (0%) -383.476/-383.925/-381.126/ 4.390 
    0/ 6804 (0%) -382.438/-382.884/-380.651/ 4.644 
    0/ 5104 (0%) -381.428/-381.860/-380.190/ 5.346 
    0/ 4253 (0%) -379.862/-380.243/-379.348/ 5.831 
    0/ 8505 (0%) -378.772/-379.225/-376.739/ 4.114 
    0/ 4253 (0%) -377.785/-378.188/-376.592/ 5.800 
    0/ 5954 (0%) -376.796/-377.218/-375.053/ 4.888 
    0/ 7655 (0%) -375.695/-376.121/-373.668/ 4.302 
    0/ 8505 (0%) -374.685/-375.114/-373.430/ 4.070 
    0/ 8505 (0%) -373.144/-373.576/-370.878/ 4.051 
    0/ 7655 (0%) -372.186/-372.592/-370.334/ 4.260 
    4/ 7655 (0.052%) -371.145/-371.579/-369.731/ 4.247 
    0/ 6804 (0%) -370.129/-370.564/-368.524/ 4.492 
    0/ 6804 (0%) -369.067/-369.511/-367.418/ 4.480 
    0/ 6804 (0%) -368.041/-368.465/-366.653/ 4.466 
    0/ 5103 (0%) -366.519/-366.980/-365.340/ 5.136 
    0/ 7655 (0%) -365.471/-365.894/-364.560/ 4.182 
    0/ 5103 (0%) -364.434/-364.807/-362.908/ 5.108 
    0/ 5954 (0%) -363.331/-363.763/-361.195/ 4.715 
    0/ 5954 (0%) -362.290/-362.733/-359.719/ 4.701 
    0/ 5954 (0%) -361.283/-361.693/-359.367/ 4.687 
    0/ 9355 (0%) -359.787/-360.199/-357.996/ 3.728 
    0/ 8505 (0%) -358.730/-359.183/-357.614/ 3.895 
    0/ 7654 (0%) -357.725/-358.144/-355.196/ 4.093 
    0/ 9355 (0%) -356.686/-357.088/-355.482/ 3.693 
    0/ 4253 (0%) -355.621/-356.043/-353.997/ 5.458 
    0/ 8505 (0%) -354.590/-355.043/-353.103/ 3.852 
