10.0 Mbits/sec   0.092 ms    0/ 8505 (0%) 15.802/12.367/20.123/ 1.554 ms  850 pps
7.00 Mbits/sec   0.115 ms    0/ 5954 (0%) 13.536/12.471/20.276/ 1.480 ms  595 pps
8.00 Mbits/sec   0.106 ms    0/ 6804 (0%) 15.458/12.518/38.600/ 3.691 ms  680 pps
8.00 Mbits/sec   0.070 ms    0/ 6804 (0%) 43.205/12.584/170.187/47.949 ms  680 pps
7.00 Mbits/sec   0.110 ms    0/ 5954 (0%) 72.670/12.670/212.435/72.065 ms  595 pps
11.0 Mbits/sec   0.153 ms    0/ 9355 (0%) 14.640/12.727/24.433/ 2.091 ms  935 pps
10.0 Mbits/sec   0.078 ms    0/ 8505 (0%) 15.085/12.781/23.711/ 1.958 ms  850 pps
9.00 Mbits/sec   0.181 ms    0/ 7654 (0%) 13.242/12.849/20.983/ 0.399 ms  765 pps
8.00 Mbits/sec   0.296 ms    0/ 6804 (0%) 13.386/12.919/19.301/ 0.355 ms  680 pps
7.00 Mbits/sec   0.092 ms    0/ 5954 (0%) 13.344/12.992/16.812/ 0.298 ms  595 pps
5.00 Mbits/sec   0.115 ms    0/ 4253 (0%) 15.576/13.082/28.387/ 2.225 ms  425 pps
11.0 Mbits/sec   0.106 ms    0/ 9355 (0%) 22.362/13.161/71.022/16.501 ms  935 pps
13.0 Mbits/sec   0.119 ms    0/11056 (0%) 17.921/13.214/72.653/12.498 ms 1105 pps
7.00 Mbits/sec   0.098 ms    0/ 5954 (0%) 14.018/13.268/18.934/ 1.184 ms  595 pps
8.00 Mbits/sec   0.096 ms    0/ 6804 (0%) 13.688/13.331/24.285/ 0.429 ms  680 pps
8.00 Mbits/sec   0.110 ms    0/ 6804 (0%) 13.722/13.385/18.398/ 0.274 ms  680 pps
7.00 Mbits/sec   0.283 ms    0/ 5954 (0%) 13.810/13.445/36.883/ 0.839 ms  595 pps
11.0 Mbits/sec   0.097 ms    0/ 9355 (0%) 13.901/13.532/20.698/ 0.363 ms  935 pps
11.0 Mbits/sec   0.119 ms    0/ 9355 (0%) 13.919/13.582/22.200/ 0.367 ms  935 pps
9.00 Mbits/sec   0.101 ms    0/ 7654 (0%) 13.997/13.662/18.177/ 0.244 ms  765 pps
12.0 Mbits/sec   0.089 ms    0/10205 (0%) 14.066/13.711/24.412/ 0.322 ms 1020 pps
7.00 Mbits/sec   0.122 ms    0/ 5954 (0%) 14.110/13.777/21.249/ 0.343 ms  595 pps
10.0 Mbits/sec   0.094 ms    0/ 8505 (0%) 14.147/13.850/21.711/ 0.277 ms  850 pps
8.00 Mbits/sec   0.160 ms    0/ 6804 (0%) 14.367/13.944/40.462/ 0.957 ms  680 pps
8.00 Mbits/sec   0.122 ms    0/ 6804 (0%) 14.341/14.011/21.813/ 0.316 ms  680 pps
9.00 Mbits/sec   0.095 ms    0/ 7654 (0%) 14.449/14.058/21.278/ 0.410 ms  765 pps
6.00 Mbits/sec   0.082 ms    0/ 5103 (0%) 14.493/14.127/21.688/ 0.332 ms  510 pps
13.0 Mbits/sec   0.081 ms    0/11056 (0%) 14.546/14.191/23.464/ 0.437 ms 1105 pps
10.0 Mbits/sec   0.259 ms    0/ 8505 (0%) 14.550/14.259/23.233/ 0.320 ms  850 pps
9.00 Mbits/sec   0.161 ms    0/ 7654 (0%) 14.662/14.344/21.003/ 0.314 ms  765 pps
7.00 Mbits/sec   0.185 ms    0/ 5954 (0%) 14.799/14.448/22.189/ 0.391 ms  595 pps
7.00 Mbits/sec   0.128 ms    0/ 5954 (0%) 14.844/14.461/19.162/ 0.298 ms  595 pps
11.0 Mbits/sec   0.200 ms    0/ 9355 (0%) 14.883/14.527/24.567/ 0.449 ms  935 pps
4.00 Mbits/sec   0.098 ms    0/ 3403 (0%) 14.982/14.618/23.374/ 0.362 ms  340 pps
8.00 Mbits/sec   0.100 ms    0/ 6804 (0%) 14.972/14.655/25.879/ 0.419 ms  680 pps
12.0 Mbits/sec   0.131 ms    0/10205 (0%) 15.089/14.748/18.678/ 0.237 ms 1020 pps
13.0 Mbits/sec   0.143 ms    0/11056 (0%) 15.135/14.818/21.802/ 0.335 ms 1105 pps
