    0/ 5104 (0%) -214.665/-215.174/-212.407/ 3.013 
    0/ 7655 (0%) -213.598/-214.140/-212.785/ 2.452 
    0/ 4253 (0%) -212.577/-213.178/-212.085/ 3.266 
    0/ 6804 (0%) -211.099/-211.631/-209.409/ 2.571 
    0/ 6804 (0%) -210.023/-210.567/-209.062/ 2.557 
    0/ 4253 (0%) -208.962/-209.509/-207.386/ 3.213 
    0/ 2553 (0%) -207.929/-208.396/-206.678/ 4.121 
    0/ 6804 (0%) -206.913/-207.401/-205.393/ 2.517 
    0/ 4253 (0%) -205.901/-206.431/-201.210/ 3.165 
    0/ 5104 (0%) -204.310/-204.847/-202.074/ 2.868 
    0/ 2553 (0%) -203.271/-203.759/-202.800/ 4.028 
    0/ 2553 (0%) -202.225/-202.719/-200.795/ 4.010 
    0/ 2553 (0%) -201.194/-201.717/-200.614/ 3.992 
    0/ 6804 (0%) -200.097/-200.646/-198.489/ 2.434 
    0/ 8505 (0%) -199.079/-199.605/-197.294/ 2.167 
    0/ 5104 (0%) -197.485/-197.994/-194.674/ 2.774 
    0/ 5954 (0%) -196.450/-196.973/-195.299/ 2.556 
    0/ 4253 (0%) -195.476/-195.996/-193.435/ 3.008 
    0/ 4253 (0%) -194.391/-194.923/-192.263/ 2.989 
    0/ 6804 (0%) -193.357/-193.865/-192.159/ 2.356 
    1/ 6804 (0.015%) -192.320/-192.851/-189.825/ 2.343 
    0/ 5954 (0%) -190.776/-191.360/-189.081/ 2.483 
    0/ 3403 (0%) -189.793/-190.318/-188.205/ 3.265 
    0/ 5954 (0%) -188.767/-189.276/-187.966/ 2.457 
    0/ 5954 (0%) -187.719/-188.254/-185.067/ 2.443 
    0/ 5954 (0%) -186.700/-187.206/-183.022/ 2.431 
    0/ 4253 (0%) -185.651/-186.167/-185.112/ 2.854 
    0/ 5954 (0%) -184.129/-184.703/-182.021/ 2.395 
    0/ 7654 (0%) -183.132/-183.717/-180.406/ 2.106 
    0/ 2553 (0%) -182.101/-182.595/-181.581/ 3.614 
    0/ 4253 (0%) -181.053/-181.569/-179.887/ 2.783 
    0/ 5954 (0%) -179.986/-180.526/-178.857/ 2.340 
    0/ 5954 (0%) -178.980/-179.545/-176.980/ 2.330 
    0/ 6804 (0%) -177.469/-178.011/-175.012/ 2.163 
    0/ 4253 (0%) -176.446/-176.982/-175.353/ 2.715 
    0/ 5954 (0%) -175.474/-175.981/-173.353/ 2.285 
    0/ 5104 (0%) -174.523/-175.029/-172.760/ 2.452 
    0/ 5954 (0%) -173.484/-174.036/-172.781/ 2.255 
    0/ 1702 (0%) -172.509/-172.978/-172.004/ 4.188 
    0/ 6804 (0%) -170.903/-171.465/-169.760/ 2.084 
    0/ 6804 (0%) -169.922/-170.454/-167.765/ 2.069 
    0/ 4253 (0%) -168.868/-169.333/-167.042/ 2.598 
    0/ 5104 (0%) -167.865/-168.409/-166.757/ 2.363 
    0/ 5103 (0%) -166.826/-167.356/-165.405/ 2.347 
    0/ 3403 (0%) -165.844/-166.327/-165.307/ 2.851 
    0/ 5954 (0%) -164.297/-164.827/-160.691/ 2.143 
    0/ 5954 (0%) -163.293/-163.853/-162.439/ 2.125 
    0/ 3403 (0%) -162.261/-162.852/-161.501/ 2.796 
    0/ 5954 (0%) -161.295/-161.826/-159.789/ 2.101 
    0/ 8505 (0%) -160.214/-160.834/-157.885/ 1.749 
    0/ 7655 (0%) -159.216/-159.781/-156.422/ 1.831 
    0/ 1702 (0%) -157.718/-158.268/-157.225/ 3.837 
    0/ 5104 (0%) -156.669/-157.216/-155.126/ 2.203 
    0/ 5954 (0%) -155.679/-156.171/-154.095/ 2.027 
    0/ 5954 (0%) -154.572/-155.116/-152.951/ 2.013 
    0/ 5954 (0%) -153.595/-154.164/-150.842/ 2.005 
    0/ 6804 (0%) -152.577/-153.163/-151.196/ 1.863 
    0/ 2553 (0%) -151.011/-151.524/-150.545/ 2.997 
    0/ 6804 (0%) -150.038/-150.571/-148.110/ 1.829 
    0/ 6804 (0%) -148.945/-149.553/-146.805/ 1.819 
    0/ 4253 (0%) -147.910/-148.456/-146.265/ 2.280 
    0/ 1702 (0%) -146.809/-147.304/-145.957/ 3.572 
    0/ 6804 (0%) -145.865/-146.419/-144.696/ 1.779 
    0/ 5954 (0%) -144.288/-144.849/-142.655/ 1.882 
    0/ 6804 (0%) -143.265/-143.855/-140.924/ 1.749 
    0/ 4253 (0%) -142.218/-142.747/-140.760/ 2.191 
    0/ 4253 (0%) -141.190/-141.692/-140.208/ 2.174 
    0/ 7655 (0%) -140.177/-140.718/-138.561/ 1.612 
    0/ 6804 (0%) -139.101/-139.648/-137.151/ 1.696 
    1/ 6804 (0.015%) -137.576/-138.090/-136.118/ 1.681 
    0/ 4253 (0%) -136.576/-137.063/-135.140/ 2.103 
    0/ 5104 (0%) -135.530/-136.044/-134.285/ 1.908 
    0/ 2553 (0%) -134.490/-134.977/-133.895/ 2.671 
    0/ 5954 (0%) -133.412/-133.972/-130.597/ 1.742 
    0/ 5104 (0%) -132.316/-132.877/-131.334/ 1.864 
    0/ 5104 (0%) -130.789/-131.338/-129.433/ 1.839 
    0/ 2553 (0%) -129.806/-130.314/-129.362/ 2.577 
    0/ 2553 (0%) -128.837/-129.353/-128.109/ 2.560 
    0/ 8505 (0%) -127.833/-128.389/-125.717/ 1.401 
    0/ 5103 (0%) -126.832/-127.325/-125.718/ 1.790 
    1/ 5104 (0.02%) -125.842/-126.380/-124.595/ 1.770 
    0/ 7655 (0%) -124.250/-124.818/-121.381/ 1.434 
    0/ 6804 (0%) -123.242/-123.779/-122.380/ 1.508 
    0/ 3403 (0%) -122.247/-122.778/-120.985/ 2.113 
    0/ 2553 (0%) -121.228/-121.737/-120.248/ 2.411 
    0/ 6804 (0%) -120.210/-120.770/-119.163/ 1.470 
    0/ 4253 (0%) -119.218/-119.719/-117.003/ 1.843 
