3.80 Mbits/sec   0.100 ms    0/ 3403 (0%) -/-/-/- ms  322 pps
7.00 Mbits/sec   0.098 ms    0/ 5954 (0%) -/-/-/- ms  595 pps
5.00 Mbits/sec   0.105 ms    0/ 4253 (0%) -/-/-/- ms  425 pps
5.00 Mbits/sec   0.122 ms    0/ 4253 (0%) -/-/-/- ms  425 pps
5.00 Mbits/sec   0.069 ms    0/ 4253 (0%) -/-/-/- ms  425 pps
4.00 Mbits/sec   0.279 ms    0/ 3403 (0%) -/-/-/- ms  340 pps
6.00 Mbits/sec   0.125 ms    0/ 5104 (0%) -/-/-/- ms  510 pps
9.00 Mbits/sec   0.158 ms    0/ 7654 (0%) -/-/-/- ms  765 pps
5.00 Mbits/sec   0.135 ms    0/ 4253 (0%) -/-/-/- ms  425 pps
6.00 Mbits/sec   0.078 ms    0/ 5104 (0%) -/-/-/- ms  510 pps
6.00 Mbits/sec   0.081 ms    0/ 5104 (0%) -/-/-/- ms  510 pps
7.00 Mbits/sec   0.160 ms    0/ 5954 (0%) -/-/-/- ms  595 pps
7.00 Mbits/sec   0.094 ms    0/ 5954 (0%) -/-/-/- ms  595 pps
8.00 Mbits/sec   0.114 ms    0/ 6804 (0%) -/-/-/- ms  680 pps
8.00 Mbits/sec   0.089 ms    0/ 6804 (0%) -/-/-/- ms  680 pps
7.00 Mbits/sec   0.079 ms    0/ 5954 (0%) -/-/-/- ms  595 pps
5.00 Mbits/sec   0.074 ms    0/ 4253 (0%) -/-/-/- ms  425 pps
6.00 Mbits/sec   0.331 ms    0/ 5104 (0%) -/-/-/- ms  510 pps
4.00 Mbits/sec   0.132 ms    0/ 3403 (0%) -/-/-/- ms  340 pps
6.00 Mbits/sec   0.138 ms    0/ 5104 (0%) -/-/-/- ms  510 pps
9.00 Mbits/sec   0.170 ms    0/ 7655 (0%) -/-/-/- ms  765 pps
6.00 Mbits/sec   0.104 ms    0/ 5104 (0%) -/-/-/- ms  510 pps
5.00 Mbits/sec   0.418 ms    0/ 4253 (0%) -/-/-/- ms  425 pps
6.00 Mbits/sec   0.093 ms    0/ 5104 (0%) -/-/-/- ms  510 pps
6.00 Mbits/sec   0.086 ms    0/ 5104 (0%) -/-/-/- ms  510 pps
