9.01 Mbits/sec   0.103 ms    0/ 7654 (0%) 21.198/13.775/56.543/10.358 ms  766 pps
9.01 Mbits/sec   0.115 ms    0/ 7654 (0%) 37.793/13.776/102.892/27.732 ms  766 pps
6.00 Mbits/sec   0.110 ms    0/ 5103 (0%) 18.618/13.824/28.984/ 6.119 ms  510 pps
6.00 Mbits/sec   0.218 ms    0/ 5103 (0%) 22.301/13.808/40.502/ 7.392 ms  510 pps
8.00 Mbits/sec   0.146 ms    0/ 6804 (0%) 14.078/13.815/18.342/ 0.251 ms  680 pps
8.01 Mbits/sec   0.352 ms    0/ 6804 (0%) 19.417/13.834/30.571/ 6.388 ms  681 pps
9.01 Mbits/sec   0.145 ms    0/ 7654 (0%) 25.077/13.820/76.001/15.187 ms  766 pps
6.01 Mbits/sec   0.089 ms    0/ 5103 (0%) 20.381/13.852/28.719/ 6.380 ms  510 pps
9.01 Mbits/sec   0.175 ms    0/ 7654 (0%) 25.136/13.859/35.826/ 4.796 ms  766 pps
11.0 Mbits/sec   0.135 ms    0/ 9355 (0%) 25.816/13.889/42.599/ 4.220 ms  936 pps
11.0 Mbits/sec   0.108 ms    0/ 9355 (0%) 14.079/13.844/20.042/ 0.242 ms  935 pps
9.99 Mbits/sec   0.122 ms    0/ 8505 (0%) 54.581/13.883/117.165/25.956 ms  849 pps
9.00 Mbits/sec   0.182 ms    0/ 7654 (0%) 29.153/13.975/74.288/13.644 ms  765 pps
11.0 Mbits/sec   0.183 ms    0/ 9355 (0%) 26.560/13.901/61.028/ 9.456 ms  935 pps
8.00 Mbits/sec   0.120 ms    0/ 6804 (0%) 26.483/13.882/65.425/ 8.630 ms  680 pps
12.0 Mbits/sec   0.182 ms    0/10205 (0%) 37.951/13.889/166.210/22.598 ms 1019 pps
11.0 Mbits/sec   0.077 ms    0/ 9355 (0%) 14.191/13.914/27.191/ 0.974 ms  936 pps
5.99 Mbits/sec   0.349 ms    0/ 5103 (0%) 18.269/13.893/31.893/ 5.937 ms  509 pps
8.00 Mbits/sec   0.171 ms    0/ 6804 (0%) 21.667/13.877/32.144/ 6.399 ms  680 pps
12.0 Mbits/sec   0.161 ms    0/10205 (0%) 19.381/13.803/31.998/ 6.166 ms 1020 pps
8.99 Mbits/sec   0.187 ms    0/ 7654 (0%) 21.500/13.786/30.637/ 5.809 ms  764 pps
8.99 Mbits/sec   0.171 ms    0/ 7654 (0%) 19.756/13.743/28.082/ 6.300 ms  764 pps
10.0 Mbits/sec   0.104 ms    0/ 8505 (0%) 13.904/13.689/18.227/ 0.240 ms  850 pps
10.0 Mbits/sec   0.051 ms    0/ 8505 (0%) 37.215/13.653/104.821/28.827 ms  851 pps
11.0 Mbits/sec   0.166 ms    0/ 9355 (0%) 19.681/13.609/33.456/ 6.464 ms  935 pps
11.0 Mbits/sec   0.091 ms    0/ 9355 (0%) 19.557/13.583/29.308/ 6.439 ms  936 pps
8.00 Mbits/sec   0.083 ms    0/ 6804 (0%) 16.603/13.569/27.314/ 5.276 ms  680 pps
11.0 Mbits/sec   0.091 ms    0/ 9355 (0%) 17.079/13.517/28.712/ 5.734 ms  935 pps
10.0 Mbits/sec   0.141 ms    0/ 8505 (0%) 13.662/13.474/17.639/ 0.214 ms  850 pps
12.0 Mbits/sec   0.092 ms    0/10205 (0%) 20.386/13.423/50.094/10.185 ms 1021 pps
10.0 Mbits/sec   0.069 ms    0/ 8505 (0%) 19.762/13.401/82.660/15.042 ms  851 pps
10.0 Mbits/sec   0.059 ms    0/ 8505 (0%) 16.777/13.366/27.688/ 5.566 ms  851 pps
12.0 Mbits/sec   0.081 ms    0/10205 (0%) 22.452/13.339/56.560/12.084 ms 1021 pps
11.0 Mbits/sec   0.069 ms    0/ 9355 (0%) 28.952/13.317/99.339/22.164 ms  936 pps
9.00 Mbits/sec   0.113 ms    0/ 7654 (0%) 13.437/13.286/16.823/ 0.206 ms  765 pps
10.0 Mbits/sec   0.328 ms    0/ 8505 (0%) 30.096/13.234/158.386/29.510 ms  850 pps
10.0 Mbits/sec   0.084 ms    0/ 8505 (0%) 21.815/13.213/31.311/ 6.025 ms  850 pps
12.0 Mbits/sec   0.164 ms    0/10205 (0%) 38.970/13.170/175.759/30.251 ms 1020 pps
6.00 Mbits/sec   0.065 ms    0/ 5103 (0%) 32.691/13.159/116.626/26.863 ms  510 pps
10.0 Mbits/sec   0.084 ms    0/ 8505 (0%) 44.328/13.183/174.121/30.512 ms  850 pps
9.00 Mbits/sec   0.113 ms    0/ 7654 (0%) 13.278/13.072/25.116/ 0.395 ms  765 pps
10.0 Mbits/sec   0.233 ms    0/ 8504 (0%) 43.690/13.043/167.678/34.101 ms  850 pps
7.98 Mbits/sec   1.620 ms    0/ 6804 (0%) 59.710/15.481/146.147/33.901 ms  678 pps
10.2 Mbits/sec   5.447 ms    0/ 8776 (0%) 45.508/13.078/200.126/34.241 ms  868 pps
7.91 Mbits/sec   1.384 ms    0/ 6804 (0%) 47.083/13.050/130.596/36.443 ms  672 pps
4.99 Mbits/sec   0.162 ms    0/ 4253 (0%) 55.614/12.972/114.566/33.644 ms  424 pps
10.0 Mbits/sec   0.071 ms    0/ 8505 (0%) 13.874/12.914/27.244/ 2.998 ms  851 pps
9.11 Mbits/sec   7.047 ms    0/ 7852 (0%) 38.766/12.888/162.268/36.079 ms  774 pps
8.28 Mbits/sec   3.522 ms    0/ 7087 (0%) 53.495/12.879/200.232/37.748 ms  704 pps
9.94 Mbits/sec   4.959 ms    0/ 8524 (0%) 76.917/12.897/195.588/26.265 ms  845 pps
7.95 Mbits/sec   1.598 ms    0/ 6804 (0%) 55.436/12.842/135.992/38.630 ms  676 pps
10.0 Mbits/sec   0.204 ms    0/ 8505 (0%) 49.500/12.811/170.615/31.894 ms  850 pps
11.0 Mbits/sec   0.074 ms    0/ 9355 (0%) 12.914/12.717/16.168/ 0.198 ms  935 pps
7.00 Mbits/sec   0.108 ms    0/ 5954 (0%) 24.832/12.684/30.309/ 4.194 ms  595 pps
10.0 Mbits/sec   0.121 ms    0/ 8505 (0%) 62.481/12.694/171.077/32.464 ms  851 pps
10.0 Mbits/sec   0.133 ms    0/ 8505 (0%) 45.898/12.658/194.616/31.358 ms  850 pps
9.00 Mbits/sec   0.159 ms    0/ 7654 (0%) 46.767/12.667/154.773/31.158 ms  765 pps
8.79 Mbits/sec   5.619 ms    0/ 7548 (0%) 72.946/12.664/201.143/34.484 ms  747 pps
