3.59 Mbits/sec   0.041 ms    0/ 3049 (0%)
4.12 Mbits/sec   0.180 ms    0/ 3503 (0%)
4.29 Mbits/sec   0.020 ms    0/ 3651 (0%)
4.78 Mbits/sec   0.025 ms    0/ 4066 (0%)
5.28 Mbits/sec   0.026 ms    0/ 4494 (0%)
8.15 Mbits/sec   0.042 ms    0/ 6931 (0%)
3.44 Mbits/sec   0.051 ms    0/ 2926 (0%)
2.86 Mbits/sec   0.022 ms    0/ 2438 (0%)
13.3 Mbits/sec   0.020 ms    0/11351 (0%)
4.62 Mbits/sec   0.044 ms    0/ 3927 (0%)
5.15 Mbits/sec   0.052 ms    0/ 4383 (0%)
6.31 Mbits/sec   0.080 ms    0/ 5362 (0%)
5.14 Mbits/sec   0.018 ms    0/ 4373 (0%)
7.12 Mbits/sec   0.024 ms    0/ 6054 (0%)
4.44 Mbits/sec   0.026 ms    0/ 3775 (0%)
3.10 Mbits/sec   0.195 ms    0/ 2640 (0%)
4.77 Mbits/sec   0.064 ms    0/ 4057 (0%)
9.74 Mbits/sec   0.037 ms    0/ 8285 (0%)
4.62 Mbits/sec   0.031 ms    0/ 3934 (0%)
4.12 Mbits/sec   0.015 ms    0/ 3502 (0%)
3.38 Mbits/sec   0.025 ms    0/ 2876 (0%)
4.22 Mbits/sec   0.042 ms    0/ 3587 (0%)
4.94 Mbits/sec   0.057 ms    0/ 4200 (0%)
3.11 Mbits/sec   0.037 ms    0/ 2643 (0%)
3.62 Mbits/sec   0.044 ms    0/ 3076 (0%)
4.16 Mbits/sec   0.020 ms    0/ 3534 (0%)
7.30 Mbits/sec   0.023 ms    0/ 6204 (0%)
5.69 Mbits/sec   0.022 ms    0/ 4843 (0%)
0.46 Mbits/sec   0.053 ms    0/  389 (0%)
3.82 Mbits/sec   0.044 ms    0/ 3249 (0%)
10.1 Mbits/sec   0.048 ms    1/ 8561 (0.012%)
4.99 Mbits/sec   0.043 ms    0/ 4242 (0%)
4.10 Mbits/sec   0.204 ms    0/ 3491 (0%)
1.98 Mbits/sec   0.012 ms    0/ 1684 (0%)
5.19 Mbits/sec   0.064 ms    0/ 4410 (0%)
4.33 Mbits/sec   0.065 ms    0/ 3685 (0%)
5.63 Mbits/sec   0.040 ms    0/ 4790 (0%)
5.15 Mbits/sec   0.049 ms    0/ 4381 (0%)
4.39 Mbits/sec   0.024 ms    0/ 3730 (0%)
5.70 Mbits/sec   0.114 ms    0/ 4851 (0%)
2.37 Mbits/sec   0.157 ms    0/ 2019 (0%)
2.37 Mbits/sec   0.045 ms    0/ 2013 (0%)
4.31 Mbits/sec   0.026 ms    0/ 3669 (0%)
3.88 Mbits/sec   0.022 ms    0/ 3296 (0%)
7.89 Mbits/sec   0.034 ms    0/ 6712 (0%)
7.19 Mbits/sec   0.109 ms    0/ 6114 (0%)
8.82 Mbits/sec   0.025 ms    0/ 7497 (0%)
7.74 Mbits/sec   0.083 ms    0/ 6585 (0%)
4.35 Mbits/sec   0.158 ms    0/ 3696 (0%)
7.78 Mbits/sec   0.025 ms    0/ 6619 (0%)
6.14 Mbits/sec   0.026 ms    0/ 5225 (0%)
6.07 Mbits/sec   0.021 ms    0/ 5160 (0%)
5.34 Mbits/sec   0.023 ms    0/ 4538 (0%)
7.91 Mbits/sec   0.025 ms    0/ 6730 (0%)
4.31 Mbits/sec   0.019 ms    0/ 3669 (0%)
7.03 Mbits/sec   0.022 ms    0/ 5978 (0%)
2.43 Mbits/sec   0.026 ms    0/ 2069 (0%)
