7.05 Mbits/sec   0.014 ms    0/ 5996 (0%)
2.29 Mbits/sec   0.028 ms    0/ 1948 (0%)
4.78 Mbits/sec   0.140 ms    0/ 4065 (0%)
5.24 Mbits/sec   0.071 ms    0/ 4455 (0%)
6.96 Mbits/sec   0.072 ms    0/ 5922 (0%)
5.43 Mbits/sec   0.030 ms    0/ 4616 (0%)
3.76 Mbits/sec   0.030 ms    0/ 3202 (0%)
3.93 Mbits/sec   0.020 ms    0/ 3338 (0%)
3.76 Mbits/sec   0.051 ms    0/ 3195 (0%)
5.27 Mbits/sec   0.051 ms    0/ 4480 (0%)
2.92 Mbits/sec   0.030 ms    0/ 2481 (0%)
4.89 Mbits/sec   0.026 ms    0/ 4158 (0%)
4.38 Mbits/sec   0.028 ms    0/ 3722 (0%)
5.93 Mbits/sec   0.020 ms    0/ 5041 (0%)
8.41 Mbits/sec   0.020 ms    0/ 7148 (0%)
7.01 Mbits/sec   0.038 ms    0/ 5967 (0%)
8.04 Mbits/sec   0.039 ms    0/ 6836 (0%)
4.04 Mbits/sec   0.080 ms    0/ 3433 (0%)
3.49 Mbits/sec   0.039 ms    0/ 2968 (0%)
4.05 Mbits/sec   0.055 ms    0/ 3445 (0%)
6.97 Mbits/sec   0.203 ms    0/ 5929 (0%)
11.1 Mbits/sec   0.019 ms    0/ 9443 (0%)
4.92 Mbits/sec   0.019 ms    0/ 4188 (0%)
8.16 Mbits/sec   0.046 ms    0/ 6944 (0%)
3.26 Mbits/sec   0.030 ms    0/ 2774 (0%)
9.39 Mbits/sec   0.040 ms    0/ 7988 (0%)
2.17 Mbits/sec   0.022 ms    0/ 1847 (0%)
3.13 Mbits/sec   0.026 ms    0/ 2659 (0%)
6.25 Mbits/sec   0.113 ms    0/ 5312 (0%)
2.24 Mbits/sec   0.031 ms    0/ 1906 (0%)
7.00 Mbits/sec   0.070 ms    0/ 5956 (0%)
1.97 Mbits/sec   0.180 ms    0/ 1675 (0%)
5.97 Mbits/sec   0.031 ms    0/ 5074 (0%)
5.21 Mbits/sec   0.066 ms    0/ 4434 (0%)
1.57 Mbits/sec   0.073 ms    0/ 1340 (0%)
4.94 Mbits/sec   0.153 ms    0/ 4204 (0%)
5.54 Mbits/sec   0.031 ms    0/ 4712 (0%)
3.24 Mbits/sec   0.098 ms    0/ 2760 (0%)
2.40 Mbits/sec   0.073 ms    0/ 2046 (0%)
5.40 Mbits/sec   0.155 ms    0/ 4596 (0%)
6.81 Mbits/sec   0.022 ms    0/ 5791 (0%)
5.20 Mbits/sec   0.021 ms    0/ 4420 (0%)
3.93 Mbits/sec   0.034 ms    0/ 3342 (0%)
7.62 Mbits/sec   0.023 ms    0/ 6478 (0%)
5.35 Mbits/sec   0.117 ms    0/ 4548 (0%)
3.26 Mbits/sec   0.039 ms    0/ 2776 (0%)
2.61 Mbits/sec   0.038 ms    0/ 2219 (0%)
4.88 Mbits/sec   0.031 ms    0/ 4153 (0%)
3.17 Mbits/sec   0.061 ms    0/ 2700 (0%)
6.23 Mbits/sec   0.040 ms    0/ 5300 (0%)
