3.24 Mbits/sec   0.014 ms    0/ 2758 (0%)
3.83 Mbits/sec   0.029 ms    0/ 3257 (0%)
3.11 Mbits/sec   0.024 ms    0/ 2648 (0%)
3.23 Mbits/sec   0.020 ms    0/ 2745 (0%)
3.27 Mbits/sec   0.012 ms    0/ 2786 (0%)
4.03 Mbits/sec   0.029 ms    0/ 3425 (0%)
7.35 Mbits/sec   0.044 ms    0/ 6247 (0%)
6.88 Mbits/sec   0.026 ms    0/ 5852 (0%)
4.56 Mbits/sec   0.029 ms    0/ 3875 (0%)
4.16 Mbits/sec   0.030 ms    0/ 3540 (0%)
2.28 Mbits/sec   0.039 ms    0/ 1935 (0%)
7.30 Mbits/sec   0.025 ms    0/ 6208 (0%)
3.81 Mbits/sec   0.026 ms    0/ 3239 (0%)
5.88 Mbits/sec   0.033 ms    0/ 5000 (0%)
7.89 Mbits/sec   0.047 ms    0/ 6707 (0%)
5.52 Mbits/sec   0.030 ms    0/ 4695 (0%)
1.51 Mbits/sec   0.022 ms    0/ 1285 (0%)
2.91 Mbits/sec   0.178 ms    0/ 2479 (0%)
1.76 Mbits/sec   0.034 ms    0/ 1499 (0%)
7.55 Mbits/sec   0.019 ms    0/ 6423 (0%)
7.34 Mbits/sec   0.037 ms    0/ 6239 (0%)
1.68 Mbits/sec   0.024 ms    0/ 1429 (0%)
3.14 Mbits/sec   0.028 ms    0/ 2671 (0%)
5.14 Mbits/sec   0.021 ms    0/ 4369 (0%)
3.37 Mbits/sec   0.038 ms    0/ 2865 (0%)
6.10 Mbits/sec   0.035 ms    0/ 5190 (0%)
3.75 Mbits/sec   0.027 ms    0/ 3192 (0%)
2.17 Mbits/sec   0.028 ms    0/ 1849 (0%)
5.50 Mbits/sec   0.027 ms    0/ 4673 (0%)
4.01 Mbits/sec   0.025 ms    0/ 3410 (0%)
6.96 Mbits/sec   0.040 ms    0/ 5918 (0%)
5.28 Mbits/sec   0.037 ms    0/ 4493 (0%)
6.34 Mbits/sec   0.013 ms    0/ 5388 (0%)
2.52 Mbits/sec   0.044 ms    0/ 2144 (0%)
4.13 Mbits/sec   0.024 ms    0/ 3515 (0%)
4.92 Mbits/sec   0.026 ms    0/ 4188 (0%)
6.53 Mbits/sec   0.032 ms    0/ 5556 (0%)
6.94 Mbits/sec   0.050 ms    0/ 5900 (0%)
7.14 Mbits/sec   0.026 ms    0/ 6068 (0%)
4.60 Mbits/sec   0.030 ms    0/ 3910 (0%)
3.99 Mbits/sec   0.037 ms    0/ 3391 (0%)
2.19 Mbits/sec   0.018 ms    0/ 1864 (0%)
7.46 Mbits/sec   0.031 ms    0/ 6346 (0%)
3.28 Mbits/sec   0.022 ms    0/ 2787 (0%)
5.41 Mbits/sec   0.029 ms    0/ 4600 (0%)
1.76 Mbits/sec   0.029 ms    0/ 1494 (0%)
5.22 Mbits/sec   0.029 ms    0/ 4443 (0%)
5.72 Mbits/sec   0.031 ms    0/ 4867 (0%)
7.27 Mbits/sec   0.029 ms    0/ 6185 (0%)
7.95 Mbits/sec   0.017 ms    3/ 6762 (0.044%)
6.17 Mbits/sec   0.042 ms    0/ 5250 (0%)
6.85 Mbits/sec   0.031 ms    0/ 5821 (0%)
4.61 Mbits/sec   0.042 ms    0/ 3922 (0%)
3.95 Mbits/sec   0.033 ms    0/ 3363 (0%)
0.89 Mbits/sec   0.038 ms    0/  754 (0%)
6.20 Mbits/sec   0.038 ms    0/ 5269 (0%)
6.69 Mbits/sec   0.039 ms    0/ 5685 (0%)
6.49 Mbits/sec   0.030 ms    0/ 5519 (0%)
6.88 Mbits/sec   0.030 ms    0/ 5852 (0%)
3.79 Mbits/sec   0.013 ms    0/ 3222 (0%)
8.23 Mbits/sec   0.043 ms    0/ 6998 (0%)
6.44 Mbits/sec   0.032 ms    0/ 5480 (0%)
3.59 Mbits/sec   0.020 ms    0/ 3056 (0%)
