    0/ 8505 (0%)  2.241/ 1.956/ 7.381/ 0.179 
    0/ 9355 (0%)  2.271/ 1.964/13.256/ 0.450 
    0/ 5954 (0%)  2.286/ 2.009/10.716/ 0.220 
    0/ 8505 (0%)  2.321/ 2.029/ 7.831/ 0.191 
    0/11906 (0%)  2.333/ 2.043/ 4.647/ 0.138 
    0/ 7654 (0%)  2.413/ 2.074/ 9.966/ 0.362 
    0/10205 (0%)  2.307/ 2.052/10.362/ 0.193 
    0/ 9355 (0%)  2.326/ 2.043/ 9.102/ 0.226 
    0/10205 (0%)  2.288/ 1.992/ 6.185/ 0.190 
    0/11906 (0%)  2.290/ 1.981/10.280/ 0.238 
    0/ 7654 (0%)  2.272/ 1.978/ 8.925/ 0.244 
    0/11056 (0%)  2.267/ 1.974/ 9.156/ 0.252 
    0/10205 (0%)  2.255/ 1.972/ 8.465/ 0.247 
    0/ 6804 (0%)  2.252/ 1.988/ 8.053/ 0.246 
    0/ 7654 (0%)  2.281/ 1.983/ 9.117/ 0.282 
    0/ 9355 (0%)  2.248/ 1.975/11.858/ 0.268 
    0/10205 (0%)  2.236/ 1.968/ 7.431/ 0.181 
    0/ 7654 (0%)  2.224/ 1.964/ 6.045/ 0.142 
    0/ 7654 (0%)  2.288/ 1.965/10.318/ 0.440 
    0/ 7654 (0%)  2.229/ 1.963/ 4.777/ 0.128 
    0/ 3403 (0%)  2.255/ 1.989/ 9.326/ 0.255 
    0/ 5103 (0%)  2.320/ 1.989/10.591/ 0.315 
    0/10205 (0%)  2.275/ 1.971/11.579/ 0.252 
    0/ 9355 (0%)  2.229/ 1.953/ 5.643/ 0.139 
    0/ 8505 (0%)  2.248/ 1.967/ 7.677/ 0.218 
    0/ 7654 (0%)  2.244/ 1.952/ 5.507/ 0.141 
    0/ 6804 (0%)  2.238/ 1.968/ 7.774/ 0.194 
    0/ 5104 (0%)  2.275/ 1.979/ 8.573/ 0.193 
    0/ 9355 (0%)  2.234/ 1.970/10.054/ 0.212 
    0/ 7654 (0%)  2.251/ 1.953/ 6.663/ 0.204 
    0/11906 (0%)  2.270/ 1.967/11.814/ 0.379 
    0/ 8505 (0%)  2.280/ 1.983/ 9.087/ 0.199 
    0/10205 (0%)  2.340/ 1.999/12.942/ 0.503 
    0/11056 (0%)  2.253/ 1.967/ 9.831/ 0.211 
    0/ 7654 (0%)  2.279/ 1.974/ 9.085/ 0.210 
    0/ 8505 (0%)  2.271/ 2.005/ 5.085/ 0.130 
    0/ 8505 (0%)  2.266/ 1.964/11.797/ 0.233 
    0/ 8505 (0%)  2.201/ 1.962/12.890/ 0.259 
    0/ 5103 (0%)  2.318/ 1.975/17.799/ 0.554 
    0/11906 (0%)  2.188/ 1.958/ 6.554/ 0.141 
    0/ 9355 (0%)  2.259/ 1.957/10.292/ 0.298 
    0/ 6804 (0%)  2.286/ 1.981/ 8.664/ 0.203 
    0/ 8505 (0%)  2.278/ 1.974/10.616/ 0.250 
    0/ 9355 (0%)  2.283/ 1.997/11.512/ 0.262 
    0/ 7654 (0%)  2.314/ 1.979/14.937/ 0.496 
    0/ 7654 (0%)  2.266/ 1.977/11.971/ 0.282 
    0/ 5954 (0%)  2.245/ 1.985/ 9.598/ 0.212 
    0/ 8505 (0%)  2.321/ 2.001/10.612/ 0.224 
    0/11056 (0%)  2.245/ 1.976/ 6.347/ 0.164 
    0/ 6804 (0%)  2.296/ 2.002/ 6.079/ 0.167 
    0/ 7654 (0%)  2.288/ 1.984/ 6.223/ 0.224 
    0/ 6804 (0%)  2.272/ 1.950/ 7.069/ 0.206 
    0/ 8505 (0%)  2.213/ 1.940/ 8.439/ 0.163 
    0/ 8505 (0%)  2.192/ 1.905/ 9.459/ 0.207 
