    0/10206 (0%)
    0/ 9355 (0%)
    0/ 5104 (0%)
    0/ 5104 (0%)
    0/ 9355 (0%)
    0/ 5104 (0%)
    0/ 5104 (0%)
    0/ 6804 (0%)
    0/ 5954 (0%)
    0/ 6804 (0%)
    0/ 5954 (0%)
    0/ 5104 (0%)
    0/ 8505 (0%)
    0/ 9355 (0%)
    0/ 6804 (0%)
    0/ 7655 (0%)
    0/ 8505 (0%)
    0/ 6804 (0%)
    0/ 6804 (0%)
    0/ 6804 (0%)
    0/ 7655 (0%)
    0/ 5954 (0%)
    0/ 9355 (0%)
    0/ 7655 (0%)
    0/ 9355 (0%)
    0/ 6804 (0%)
    0/ 5954 (0%)
    0/ 5954 (0%)
    0/ 8505 (0%)
    0/10206 (0%)
    0/ 3403 (0%)
    0/ 6804 (0%)
    0/ 5954 (0%)
    0/ 4253 (0%)
    0/ 5954 (0%)
    0/ 6804 (0%)
    0/11906 (0%)
    0/10206 (0%)
    1/ 8505 (0.012%)
    0/ 4253 (0%)
    0/ 4253 (0%)
    0/ 5104 (0%)
    0/ 5104 (0%)
    0/ 9355 (0%)
    0/ 7655 (0%)
    0/ 9355 (0%)
    0/ 6804 (0%)
    0/ 5954 (0%)
    0/ 5104 (0%)
    0/ 8505 (0%)
    0/ 6804 (0%)
    0/ 8505 (0%)
    0/ 5954 (0%)
    0/ 5104 (0%)
    0/ 9355 (0%)
    0/ 8505 (0%)
    0/ 5954 (0%)
    1/ 6804 (0.015%)
    0/ 8505 (0%)
    0/ 6804 (0%)
    0/ 7655 (0%)
    0/ 8505 (0%)
    0/ 5104 (0%)
    0/ 9355 (0%)
    0/ 8505 (0%)
    0/ 6804 (0%)
    0/ 6804 (0%)
    0/ 6804 (0%)
    0/ 4253 (0%)
    0/ 6804 (0%)
    0/ 5954 (0%)
    0/ 8505 (0%)
    0/11055 (0%)
    0/ 7655 (0%)
    0/ 7655 (0%)
    0/ 7655 (0%)
    0/ 8505 (0%)
    0/ 5104 (0%)
    0/ 5104 (0%)
    0/ 7655 (0%)
    0/ 6804 (0%)
    0/ 6804 (0%)
    0/ 6804 (0%)
    0/10206 (0%)
    0/ 8505 (0%)
    0/ 5954 (0%)
    0/ 9355 (0%)
    0/ 5104 (0%)
    0/ 7655 (0%)
    0/ 7655 (0%)
    0/ 8505 (0%)
    0/ 5954 (0%)
    0/ 8505 (0%)
    0/ 8505 (0%)
    0/ 5104 (0%)
    0/ 5954 (0%)
    1/11056 (0.009%)
    0/ 7655 (0%)
    0/ 5954 (0%)
    0/ 8505 (0%)
    0/ 6804 (0%)
    0/10206 (0%)
    0/ 5954 (0%)
    0/ 3403 (0%)
    0/ 8505 (0%)
    0/ 4253 (0%)
    0/ 3403 (0%)
    0/ 5104 (0%)
    0/ 5104 (0%)
    0/ 7655 (0%)
    0/ 5954 (0%)
    0/ 5954 (0%)
    0/ 5104 (0%)
    0/ 8505 (0%)
    0/ 7655 (0%)
    0/ 5104 (0%)
    0/ 7655 (0%)
    0/ 7655 (0%)
    0/ 4253 (0%)
    0/ 6804 (0%)
    0/11056 (0%)
    0/ 5954 (0%)
    0/ 9355 (0%)
    0/ 7655 (0%)
    0/ 6804 (0%)
    0/ 5954 (0%)
    0/ 6804 (0%)
    0/ 8505 (0%)
    0/ 6804 (0%)
    0/ 6804 (0%)
    0/ 5954 (0%)
    0/ 7655 (0%)
    0/ 6804 (0%)
    0/ 5103 (0%)
    0/ 7655 (0%)
    0/ 6804 (0%)
    0/ 8505 (0%)
    0/ 9355 (0%)
    0/10206 (0%)
    0/ 7655 (0%)
    0/ 7655 (0%)
    0/ 7655 (0%)
    0/ 8505 (0%)
    0/ 5954 (0%)
    0/ 9355 (0%)
    0/ 4253 (0%)
    0/10206 (0%)
    0/ 7655 (0%)
    0/ 7655 (0%)
    0/ 9355 (0%)
    0/ 5954 (0%)
    0/10206 (0%)
    0/ 7655 (0%)
    0/ 5954 (0%)
    0/ 6804 (0%)
    0/ 5954 (0%)
    0/ 7655 (0%)
    0/ 8505 (0%)
    0/11056 (0%)
    0/ 7655 (0%)
    0/ 7655 (0%)
    0/ 5104 (0%)
    0/ 6804 (0%)
    0/ 6804 (0%)
    0/ 9355 (0%)
    0/ 5954 (0%)
    0/ 5104 (0%)
    0/ 7655 (0%)
    0/ 8505 (0%)
    0/ 8505 (0%)
    0/ 9355 (0%)
    0/10206 (0%)
    0/ 7655 (0%)
    0/ 3403 (0%)
    0/11056 (0%)
    0/ 6804 (0%)
    0/ 7655 (0%)
    1/ 6804 (0.015%)
    0/ 8505 (0%)
    0/ 5104 (0%)
    0/ 5104 (0%)
    0/ 6804 (0%)
    0/ 7655 (0%)
    0/ 5954 (0%)
    0/11056 (0%)
    0/11056 (0%)
    0/ 7655 (0%)
    0/ 3403 (0%)
    0/ 8505 (0%)
    0/ 8505 (0%)
    0/ 5104 (0%)
    0/ 5104 (0%)
    0/ 6804 (0%)
    0/ 5954 (0%)
    0/ 6804 (0%)
    0/ 7655 (0%)
    0/ 5104 (0%)
    0/ 4253 (0%)
    0/ 8505 (0%)
    0/ 6804 (0%)
    0/ 5954 (0%)
    0/ 7655 (0%)
    0/ 7655 (0%)
    0/ 6804 (0%)
    0/ 7655 (0%)
    0/ 4253 (0%)
    0/ 7655 (0%)
    0/ 6804 (0%)
    0/ 8505 (0%)
    0/ 6804 (0%)
    0/ 7655 (0%)
    0/ 8505 (0%)
    0/ 5104 (0%)
    0/ 7655 (0%)
    0/ 7655 (0%)
    0/ 8505 (0%)
    0/ 5954 (0%)
    0/ 6804 (0%)
    0/ 5104 (0%)
    0/ 6804 (0%)
    0/ 6804 (0%)
    0/ 8505 (0%)
    0/ 6804 (0%)
    0/ 6804 (0%)
    0/ 5104 (0%)
    0/ 6804 (0%)
    0/ 5954 (0%)
    0/ 9355 (0%)
    0/ 5954 (0%)
    0/ 8505 (0%)
    0/ 7655 (0%)
    0/ 5954 (0%)
    0/ 4253 (0%)
    0/ 9355 (0%)
    0/ 9355 (0%)
    0/ 5104 (0%)
    0/ 6804 (0%)
    0/ 8505 (0%)
    0/ 9355 (0%)
    0/ 8505 (0%)
    0/11906 (0%)
    0/ 6804 (0%)
    0/ 8505 (0%)
    0/ 7655 (0%)
    0/ 9355 (0%)
    0/ 7655 (0%)
    0/ 7655 (0%)
    0/ 7655 (0%)
    0/ 8505 (0%)
    0/ 7655 (0%)
    0/ 9355 (0%)
    0/ 6804 (0%)
    0/ 8505 (0%)
    0/ 9355 (0%)
    0/ 6804 (0%)
    0/ 5104 (0%)
    0/ 5954 (0%)
    0/ 5954 (0%)
    0/ 5104 (0%)
    0/10206 (0%)
    0/ 6804 (0%)
    0/ 6804 (0%)
    0/ 6804 (0%)
    0/ 7655 (0%)
    0/ 5954 (0%)
    0/ 7655 (0%)
    0/10206 (0%)
    0/ 5954 (0%)
    0/ 4253 (0%)
    0/ 9355 (0%)
    0/ 5104 (0%)
    0/ 4253 (0%)
    0/ 9355 (0%)
    0/ 7655 (0%)
    0/ 6804 (0%)
    0/ 5954 (0%)
    0/ 5954 (0%)
    0/ 5104 (0%)
    0/ 5954 (0%)
    0/ 7655 (0%)
    0/ 7655 (0%)
    0/ 7655 (0%)
    0/ 6804 (0%)
    0/ 7655 (0%)
    0/ 5104 (0%)
    1/ 7655 (0.013%)
    0/ 6804 (0%)
    0/ 9355 (0%)
    0/ 7655 (0%)
    0/ 5954 (0%)
    0/ 5954 (0%)
    0/ 7655 (0%)
    0/ 5104 (0%)
    0/ 8505 (0%)
    0/ 7655 (0%)
    0/ 6804 (0%)
    0/ 9355 (0%)
    0/ 9355 (0%)
    0/ 4253 (0%)
    0/ 5104 (0%)
