    0/11056 (0%) 2263.195/2262.647/2264.976/21.524 
    0/ 8505 (0%) 2264.303/2263.830/2266.634/24.552 
    0/ 7655 (0%) 2265.477/2265.008/2267.339/25.892 
    0/ 6804 (0%) 2266.649/2266.182/2268.780/27.481 
    0/ 7655 (0%) 2267.888/2267.432/2270.066/25.924 
    0/ 6804 (0%) 2268.995/2268.553/2270.791/27.509 
    0/ 7645 (0%) 2270.748/2270.223/2273.822/25.970 
    0/ 6804 (0%) 2271.966/2271.448/2274.524/27.542 
    0/ 6804 (0%) 2273.143/2272.629/2276.279/27.556 
    0/ 9355 (0%) 2274.283/2273.766/2276.284/23.512 
    0/ 7655 (0%) 2275.466/2274.963/2282.074/26.008 
    0/ 8505 (0%) 2276.684/2276.131/2280.264/24.686 
    0/ 7655 (0%) 2278.478/2277.923/2281.606/26.041 
    0/ 8505 (0%) 2279.602/2279.077/2282.106/24.719 
    0/ 7655 (0%) 2280.775/2280.260/2285.500/26.066 
    0/ 7655 (0%) 2281.976/2281.480/2285.227/26.081 
    0/ 9355 (0%) 2283.239/2282.706/2287.279/23.606 
    0/ 6804 (0%) 2284.403/2283.856/2287.945/27.693 
    1/ 8504 (0.012%) 2286.111/2285.630/2293.672/24.792 
    0/ 7655 (0%) 2287.269/2286.767/2289.498/26.142 
    0/ 5954 (0%) 2288.451/2287.950/2296.572/29.656 
    0/ 6804 (0%) 2289.599/2289.074/2291.362/27.757 
    0/ 7655 (0%) 2290.849/2290.346/2294.975/26.183 
    0/ 6804 (0%) 2292.020/2291.489/2294.973/27.784 
    0/10206 (0%) 2293.800/2293.288/2297.406/22.705 
    0/ 9355 (0%) 2294.942/2294.448/2298.467/23.727 
    0/ 7655 (0%) 2296.170/2295.679/2301.197/26.243 
    0/ 9355 (0%) 2297.473/2296.923/2302.087/23.752 
    0/ 8505 (0%) 2298.620/2298.121/2307.471/24.926 
    0/ 9355 (0%) 2299.716/2299.231/2302.486/23.776 
    0/ 8505 (0%) 2301.592/2301.067/2305.712/24.956 
    0/ 5104 (0%) 2302.815/2302.347/2306.074/32.238 
    0/ 8505 (0%) 2303.998/2303.546/2307.472/24.982 
    0/ 9355 (0%) 2305.155/2304.664/2308.985/23.832 
    0/ 7655 (0%) 2306.365/2305.830/2314.977/26.358 
    0/ 9355 (0%) 2307.510/2307.018/2309.046/23.857 
    0/ 7655 (0%) 2309.331/2308.929/2313.822/26.395 
    0/ 6804 (0%) 2310.542/2310.074/2314.833/28.011 
    0/ 8505 (0%) 2311.691/2311.240/2314.407/25.066 
