11.0 Mbits/sec   0.088 ms    0/ 9355 (0%) 11.450/ 5.407/52.563/12.395 ms  935 pps
11.0 Mbits/sec   0.102 ms    0/ 9355 (0%) 49.808/ 5.410/182.497/33.875 ms  935 pps
9.00 Mbits/sec   0.148 ms    0/ 7654 (0%) 59.916/ 5.456/142.375/39.786 ms  765 pps
9.65 Mbits/sec   1.461 ms    0/ 8232 (0%) 57.966/ 5.522/145.288/33.333 ms  820 pps
11.0 Mbits/sec   0.111 ms    0/ 9355 (0%) 51.250/ 5.466/156.583/35.524 ms  936 pps
10.0 Mbits/sec   0.096 ms    0/ 8505 (0%) 47.031/ 5.458/207.160/38.943 ms  851 pps
7.05 Mbits/sec   0.074 ms    0/ 5954 (0%) 57.154/ 5.467/112.636/37.934 ms  599 pps
6.01 Mbits/sec   0.225 ms    0/ 5103 (0%) 43.480/ 5.481/112.804/37.430 ms  510 pps
11.0 Mbits/sec   0.080 ms    0/ 9355 (0%) 58.603/ 5.469/211.190/35.726 ms  936 pps
9.01 Mbits/sec   0.111 ms    0/ 7654 (0%) 79.326/ 5.539/118.983/34.111 ms  766 pps
11.0 Mbits/sec   0.089 ms    0/ 9355 (0%) 54.087/ 5.483/173.001/34.620 ms  935 pps
8.01 Mbits/sec   0.063 ms    0/ 6804 (0%) 82.094/ 5.517/130.678/26.558 ms  681 pps
9.06 Mbits/sec   0.097 ms    0/ 7654 (0%) 84.203/ 5.498/156.455/34.051 ms  770 pps
8.00 Mbits/sec   0.094 ms    0/ 6804 (0%) 80.444/18.363/124.261/30.067 ms  680 pps
7.39 Mbits/sec   6.121 ms    0/ 6344 (0%) 85.741/ 5.529/179.194/30.935 ms  628 pps
7.63 Mbits/sec   9.560 ms    0/ 6586 (0%) 67.246/ 5.496/192.492/44.274 ms  648 pps
8.55 Mbits/sec   4.337 ms    0/ 7330 (0%) 69.298/ 5.601/167.371/32.996 ms  727 pps
7.99 Mbits/sec   0.416 ms    0/ 6804 (0%) 80.255/ 6.418/123.067/24.667 ms  679 pps
