    0/10206 (0%) 1937.812/1937.284/1949.758/19.191 
    0/ 7655 (0%) 2364.883/2364.425/2369.435/27.036 
    0/ 7655 (0%) 2363.907/2363.449/2373.450/27.026 
    0/ 8505 (0%) 2362.841/2362.342/2368.537/25.627 
    0/ 9355 (0%) 2361.838/2361.346/2366.409/24.424 
    0/ 7655 (0%) 2360.857/2360.382/2370.828/26.990 
    0/ 6804 (0%) 2359.253/2358.794/2367.038/28.609 
    0/ 7655 (0%) 2358.268/2357.775/2365.871/26.961 
    0/ 7655 (0%) 2357.207/2356.705/2362.121/26.947 
    0/ 8505 (0%) 2355.938/2355.442/2365.203/25.553 
    0/ 7655 (0%) 2354.932/2354.440/2361.914/26.923 
    0/ 8505 (0%) 2353.896/2353.408/2359.430/25.530 
    0/ 6804 (0%) 2352.381/2351.909/2357.757/28.526 
    0/ 7655 (0%) 2351.358/2350.900/2357.029/26.881 
    0/ 7655 (0%) 2350.319/2349.815/2356.955/26.871 
    0/ 8505 (0%) 2349.266/2348.734/2357.061/25.482 
    0/ 8505 (0%) 2348.218/2347.741/2354.519/25.469 
    0/ 7655 (0%) 2347.184/2346.682/2353.437/26.833 
    0/ 7655 (0%) 2345.671/2345.136/2353.197/26.819 
    0/10206 (0%) 2344.585/2344.129/2349.047/23.215 
    0/ 9355 (0%) 2343.587/2343.102/2349.746/24.235 
    0/ 6804 (0%) 2342.517/2342.029/2351.182/28.408 
    0/ 6804 (0%) 2341.558/2341.079/2347.053/28.412 
    0/ 9355 (0%) 2340.555/2340.052/2348.682/24.205 
    0/ 7655 (0%) 2339.021/2338.540/2347.634/26.740 
    0/ 7655 (0%) 2338.010/2337.509/2345.469/26.734 
    0/ 7655 (0%) 2336.925/2336.456/2342.229/26.715 
    0/ 7655 (0%) 2335.903/2335.446/2341.362/26.705 
    0/ 8505 (0%) 2334.896/2334.418/2340.882/25.325 
    0/ 8505 (0%) 2333.860/2333.374/2340.118/25.312 
    0/ 7655 (0%) 2332.300/2331.804/2337.872/26.663 
    0/ 7655 (0%) 2331.276/2330.816/2337.004/26.653 
    0/ 7655 (0%) 2330.300/2329.809/2337.076/26.640 
    0/ 8505 (0%) 2329.330/2328.842/2338.795/25.266 
    0/ 7655 (0%) 2328.328/2327.805/2334.177/26.619 
    0/ 8505 (0%) 2327.257/2326.798/2336.316/25.242 
    0/ 8505 (0%) 2325.720/2325.236/2330.839/25.226 
    0/ 8505 (0%) 2324.671/2324.174/2333.478/25.213 
    0/ 8505 (0%) 2323.639/2323.184/2330.324/25.200 
    0/ 6804 (0%) 2322.635/2322.156/2329.530/28.163 
    0/ 7655 (0%) 2321.583/2321.096/2328.779/26.542 
    0/ 8505 (0%) 2320.516/2320.041/2326.375/25.168 
    0/ 8505 (0%) 2318.992/2318.506/2326.735/25.154 
    0/ 8505 (0%) 2317.914/2317.452/2328.407/25.142 
    0/ 7655 (0%) 2316.857/2316.353/2324.061/26.489 
    0/ 8505 (0%) 2315.795/2315.325/2323.713/25.117 
    0/ 8505 (0%) 2314.773/2314.307/2319.782/25.105 
    0/ 8505 (0%) 2313.719/2313.229/2320.497/25.094 
    0/ 6804 (0%) 2312.192/2311.671/2320.463/28.040 
    0/ 8505 (0%) 2311.159/2310.666/2319.288/25.069 
    0/ 8505 (0%) 2310.170/2309.681/2323.721/25.056 
    0/ 8505 (0%) 2309.061/2308.599/2315.712/25.044 
    0/ 5954 (0%) 2308.064/2307.614/2313.342/29.919 
    0/ 8505 (0%) 2307.058/2306.577/2313.623/25.025 
    0/ 8505 (0%) 2305.297/2304.838/2310.581/25.002 
    0/ 9355 (0%) 2304.298/2303.800/2312.708/23.831 
    0/ 5954 (0%) 2303.307/2302.824/2310.895/29.857 
    0/ 8505 (0%) 2302.299/2301.841/2310.303/24.972 
    0/ 8505 (0%) 2301.303/2300.830/2306.616/24.958 
    0/ 8505 (0%) 2300.266/2299.821/2306.777/24.948 
    0/ 8505 (0%) 2298.725/2298.249/2306.261/24.931 
    0/ 8505 (0%) 2297.730/2297.212/2304.562/24.924 
    0/ 9355 (0%) 2296.643/2296.150/2305.217/23.752 
    0/ 8505 (0%) 2295.650/2295.171/2304.211/24.899 
    0/ 7655 (0%) 2294.603/2294.115/2300.643/26.232 
    0/ 7655 (0%) 2293.577/2293.096/2298.259/26.220 
    0/ 6804 (0%) 2291.985/2291.529/2298.894/27.795 
    0/10206 (0%) 2291.013/2290.546/2297.871/22.684 
    0/ 7655 (0%) 2289.929/2289.456/2295.411/26.178 
    0/ 6804 (0%) 2288.935/2288.469/2293.728/27.756 
    0/ 8505 (0%) 2287.973/2287.474/2294.358/24.816 
    0/ 9355 (0%) 2286.973/2286.482/2295.002/23.654 
    0/ 6804 (0%) 2285.398/2284.951/2291.153/27.711 
    0/ 8505 (0%) 2284.410/2283.939/2290.540/24.776 
    0/ 8505 (0%) 2283.367/2282.877/2291.943/24.766 
    0/ 6804 (0%) 2282.347/2281.913/2286.889/27.675 
    0/ 7655 (0%) 2281.347/2280.804/2294.784/26.083 
    0/ 7654 (0%) 2280.262/2279.791/2289.404/26.071 
    0/ 7655 (0%) 2278.432/2277.995/2284.082/26.047 
    0/ 6804 (0%) 2277.437/2276.943/2284.963/27.618 
    0/ 8505 (0%) 2276.425/2275.943/2282.602/24.689 
    0/ 7655 (0%) 2275.349/2274.883/2280.647/26.012 
    0/ 7655 (0%) 2274.345/2273.879/2281.305/26.001 
    0/ 7655 (0%) 2273.335/2272.906/2278.842/25.991 
