12.0 Mbits/sec   0.108 ms    0/10205 (0%) -/-/-/- ms 1020 pps
9.00 Mbits/sec   0.145 ms    0/ 7655 (0%) -/-/-/- ms  765 pps
11.0 Mbits/sec   0.122 ms    0/ 9355 (0%) -/-/-/- ms  935 pps
11.0 Mbits/sec   0.119 ms    0/ 9355 (0%) -/-/-/- ms  935 pps
10.0 Mbits/sec   0.093 ms    0/ 8505 (0%) -/-/-/- ms  850 pps
9.00 Mbits/sec   0.124 ms    0/ 7655 (0%) -/-/-/- ms  765 pps
9.00 Mbits/sec   0.101 ms    0/ 7655 (0%) -/-/-/- ms  765 pps
9.00 Mbits/sec   0.127 ms    0/ 7655 (0%) -/-/-/- ms  765 pps
10.0 Mbits/sec   0.089 ms    0/ 8505 (0%) -/-/-/- ms  850 pps
9.00 Mbits/sec   0.109 ms    0/ 7655 (0%) -/-/-/- ms  765 pps
9.50 Mbits/sec   0.132 ms  429/ 8505 (5%) -/-/-/- ms  807 pps
10.0 Mbits/sec   0.115 ms    0/ 8505 (0%) -/-/-/- ms  850 pps
10.0 Mbits/sec   0.093 ms    0/ 8505 (0%) -/-/-/- ms  850 pps
10.0 Mbits/sec   0.105 ms    0/ 8505 (0%) -/-/-/- ms  850 pps
3.53 Mbits/sec  125.240 ms 3212/ 6812 (47%) -/-/-/- ms  299 pps
8.00 Mbits/sec   0.082 ms    0/ 6804 (0%) -/-/-/- ms  680 pps
12.0 Mbits/sec   0.106 ms    0/10206 (0%) -/-/-/- ms 1020 pps
10.0 Mbits/sec   0.073 ms    0/ 8505 (0%) -/-/-/- ms  850 pps
10.0 Mbits/sec   0.100 ms    0/ 8505 (0%) -/-/-/- ms  850 pps
9.00 Mbits/sec   0.111 ms    0/ 7655 (0%) -/-/-/- ms  765 pps
10.0 Mbits/sec   0.114 ms    0/ 8505 (0%) -/-/-/- ms  850 pps
10.0 Mbits/sec   0.112 ms    0/ 8505 (0%) -/-/-/- ms  850 pps
9.00 Mbits/sec   0.107 ms    0/ 7655 (0%) -/-/-/- ms  765 pps
9.00 Mbits/sec   0.116 ms    0/ 7655 (0%) -/-/-/- ms  765 pps
8.00 Mbits/sec   0.092 ms    0/ 6804 (0%) -/-/-/- ms  680 pps
9.00 Mbits/sec   0.125 ms    0/ 7655 (0%) -/-/-/- ms  765 pps
9.00 Mbits/sec   0.104 ms    0/ 7655 (0%) -/-/-/- ms  765 pps
9.00 Mbits/sec   0.100 ms    0/ 7654 (0%) -/-/-/- ms  765 pps
10.0 Mbits/sec   0.096 ms    0/ 8505 (0%) -/-/-/- ms  850 pps
10.0 Mbits/sec   0.101 ms    0/ 8505 (0%) -/-/-/- ms  850 pps
11.0 Mbits/sec   0.127 ms    0/ 9355 (0%) -/-/-/- ms  935 pps
9.00 Mbits/sec   0.118 ms    0/ 7655 (0%) -/-/-/- ms  765 pps
9.00 Mbits/sec   0.104 ms    0/ 7655 (0%) -/-/-/- ms  765 pps
10.0 Mbits/sec   0.084 ms    0/ 8505 (0%) -/-/-/- ms  850 pps
8.00 Mbits/sec   0.116 ms    0/ 6804 (0%) -/-/-/- ms  680 pps
9.00 Mbits/sec   0.088 ms    0/ 7655 (0%) -/-/-/- ms  765 pps
8.00 Mbits/sec   0.133 ms    0/ 6804 (0%) -/-/-/- ms  680 pps
10.0 Mbits/sec   0.096 ms    0/ 8505 (0%) -/-/-/- ms  850 pps
2.35 Mbits/sec   0.106 ms    0/ 7654 (0%) -/-/-/- ms  199 pps
1.67 Mbits/sec   0.106 ms    0/ 8505 (0%) -/-/-/- ms  142 pps
1.11 Mbits/sec   0.098 ms    0/ 8505 (0%) -/-/-/- ms   94 pps
0.63 Mbits/sec   0.090 ms    0/ 5954 (0%) -/-/-/- ms   53 pps
8.00 Mbits/sec   0.092 ms    0/ 6804 (0%) -/-/-/- ms  680 pps
11.0 Mbits/sec   0.416 ms    0/ 9355 (0%) -/-/-/- ms  935 pps
10.0 Mbits/sec   0.103 ms    0/ 8505 (0%) -/-/-/- ms  850 pps
10.0 Mbits/sec   0.098 ms    0/ 8505 (0%) -/-/-/- ms  850 pps
9.00 Mbits/sec   0.130 ms    0/ 7655 (0%) -/-/-/- ms  765 pps
11.0 Mbits/sec   0.125 ms    0/ 9355 (0%) -/-/-/- ms  935 pps
10.0 Mbits/sec   0.102 ms    0/ 8505 (0%) -/-/-/- ms  850 pps
10.0 Mbits/sec   0.079 ms    0/ 8505 (0%) -/-/-/- ms  850 pps
