6.68 Mbits/sec   0.024 ms    0/ 5682 (0%)
4.88 Mbits/sec   0.030 ms    0/ 4148 (0%)
5.13 Mbits/sec   0.014 ms    0/ 4363 (0%)
4.44 Mbits/sec   0.022 ms    0/ 3777 (0%)
7.74 Mbits/sec   0.013 ms    0/ 6579 (0%)
5.29 Mbits/sec   0.023 ms    0/ 4497 (0%)
4.68 Mbits/sec   0.023 ms    0/ 3980 (0%)
5.38 Mbits/sec   0.011 ms    0/ 4573 (0%)
1.31 Mbits/sec   0.014 ms    0/ 1119 (0%)
5.60 Mbits/sec   0.010 ms    0/ 4762 (0%)
