    6/18727 (0.032%)
    3/22124 (0.014%)
    1/16181 (0.0062%)
    1/11062 (0.009%)
    0/15314 (0%)
    3/20408 (0.015%)
    1/13606 (0.0073%)
    2/14469 (0.014%)
    1/15314 (0.0065%)
    3/12755 (0.024%)
    5/15315 (0.033%)
   10/17007 (0.059%)
    2/16181 (0.012%)
    5/13606 (0.037%)
   12/20408 (0.059%)
    7/15314 (0.046%)
    0/ 9356 (0%)
    6/17857 (0.034%)
    1/11905 (0.0084%)
    5/12755 (0.039%)
    0/ 7658 (0%)
    1/10204 (0.0098%)
    0/13606 (0%)
    6/16181 (0.037%)
    4/17857 (0.022%)
   17/23810 (0.071%)
    0/ 8504 (0%)
    4/16181 (0.025%)
    4/14472 (0.028%)
    0/ 7657 (0%)
    6/17007 (0.035%)
    4/20408 (0.02%)
    2/13606 (0.015%)
    6/15314 (0.039%)
    4/18726 (0.021%)
    1/12755 (0.0078%)
    3/15314 (0.02%)
    2/12755 (0.016%)
    2/17007 (0.012%)
    6/15315 (0.039%)
   44/16181 (0.27%)
    4/19570 (0.02%)
    6/15315 (0.039%)
    0/10204 (0%)
    3/15314 (0.02%)
    3/17857 (0.017%)
    4/17007 (0.024%)
    1/11905 (0.0084%)
    9/17857 (0.05%)
    8/18727 (0.043%)
    3/17007 (0.018%)
    3/17007 (0.018%)
    2/15314 (0.013%)
    2/12755 (0.016%)
    7/18727 (0.037%)
    1/12755 (0.0078%)
    5/18727 (0.027%)
    2/ 9355 (0.021%)
    8/20408 (0.039%)
    3/12755 (0.024%)
